Symbol,Close,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,Drift,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Delta_Drift,Delta_ZF_Score,Direction_Changed,Memory_Status
AUDNZD.m,1.20842,NEUTRAL,RANGE,0,0.0,30.0,0.0025282992896488482,0.03531180011666414,NEUTRAL,0.009176361866388007,0.09600528117906106,-0.00664806257673916,-0.060693481062396915,False,LAMINAR
AUDUSD.m,0.70443,NEUTRAL,RANGE,0,0.0,30.0,0.18841581590752404,0.07119358343449511,NEUTRAL,0.2188774535147023,0.0012507470483492425,-0.030461637607178266,0.06994283638614587,False,LAMINAR
AUDJPY.m,112.72,NEUTRAL,RANGE,0,0.0,30.0,0.010004833679389254,0.06827861384362319,NEUTRAL,0.0773176385312875,0.005284605663894252,-0.06731280485189824,0.06299400817972893,False,LAMINAR
CHFJPY.m,201.223,NEUTRAL,RANGE,0,0.0,30.0,0.02515487490211507,0.057673898430469536,NEUTRAL,0.030280118217673603,0.02104350833203165,-0.005125243315558532,0.03663039009843788,False,LAMINAR
EURAUD.m,1.64399,SELL,RANGE,43,0.5,30.0,0.06655144386409771,0.01753441729054453,SELL,0.08228871263209851,0.009710923310367298,-0.0157372687680008,0.007823493980177232,False,LAMINAR
EURCAD.m,1.6190799999999999,NEUTRAL,RANGE,0,0.0,30.0,0.10827958027953359,0.11596357510765752,NEUTRAL,0.09558681421556042,0.07043811862839545,0.012692766063973168,0.045525456479262066,False,LAMINAR
EURCHF.m,0.92088,NEUTRAL,TREND,0,0.0,30.0,0.033991772189390326,0.008566097969277956,NEUTRAL,0.03302272876444882,0.002206460652155118,0.0009690434249415084,0.006359637317122838,False,LAMINAR
EURGBP.m,0.86337,NEUTRAL,RANGE,0,0.0,30.0,0.03594956659747558,0.06174289925867478,NEUTRAL,0.042154899094247446,0.029818860604579063,-0.006205332496771868,0.03192403865409572,False,LAMINAR
EURJPY.m,185.321,NEUTRAL,RANGE,0,0.0,30.0,0.054881627606023234,0.02595893200920152,NEUTRAL,0.00048245074715033866,0.05945419820037174,0.0543991768588729,-0.03349526619117022,False,LAMINAR
EURUSD.m,1.15814,NEUTRAL,RANGE,0,0.0,30.0,0.1225563576561958,0.09152569742395004,NEUTRAL,0.13875931763153562,0.06697109355036734,-0.016202959975339826,0.0245546038735827,False,LAMINAR
GBPAUD.m,1.90409,NEUTRAL,RANGE,0,0.0,30.0,0.10144079001734038,0.09997010844805408,NEUTRAL,0.122986980777975,0.034308182286197385,-0.021546190760634618,0.0656619261618567,False,LAMINAR
GBPCHF.m,1.06659,NEUTRAL,RANGE,0,0.0,30.0,0.06806401567344694,0.05355866861029636,NEUTRAL,0.07559177050512367,0.009614594684461804,-0.007527754831676725,0.043944073925834555,False,LAMINAR
GBPJPY.m,214.634,NEUTRAL,RANGE,0,0.0,30.0,0.09105941491562142,0.08378020511417832,NEUTRAL,0.044519692170375186,0.0013813285280884885,0.04653972274524623,0.08239887658608983,False,LAMINAR
GBPUSD.m,1.34134,NEUTRAL,RANGE,0,0.0,30.0,0.08654829548101682,0.01067779413221163,NEUTRAL,0.09653803923363179,0.007860549941247902,-0.009989743752614966,0.0028172441909637275,False,LAMINAR
NZDUSD.m,0.58292,NEUTRAL,RANGE,0,0.0,30.0,0.19352065601465873,0.08905139805152897,NEUTRAL,0.22879960775041172,0.09509538417744885,-0.03527895173575299,-0.006043986125919887,False,LAMINAR
USDCAD.m,1.39806,NEUTRAL,RANGE,0,0.0,30.0,0.013616181570879708,0.12569071430665318,NEUTRAL,0.042345568875572476,0.0015465320752800463,-0.028729387304692766,0.12414418223137313,False,LAMINAR
USDCHF.m,0.79513,NEUTRAL,RANGE,0,0.0,30.0,0.15516860018349707,0.0559291073567898,NEUTRAL,0.1719854719619084,0.011732661437221998,-0.01681687177841132,0.0441964459195678,False,LAMINAR
USDJPY.m,160.014,NEUTRAL,RANGE,0,0.0,30.0,0.17816236676538344,0.4292563453758061,NEUTRAL,0.14084657807229256,0.19897528542148962,0.03731578869309088,0.23028105995431647,False,LAMINAR
AUDCAD.m,0.98482,NEUTRAL,RANGE,0,0.0,30.0,0.17438756090613217,0.024031032130216422,NEUTRAL,0.17620313704514015,0.17056291679358185,-0.001815576139007985,-0.14653188466336542,False,LAMINAR
AUDCHF.m,0.56013,NEUTRAL,RANGE,0,0.0,30.0,0.03372617857281997,0.0040105541303603436,NEUTRAL,0.04488475746367317,0.03576287602574443,-0.011158578890853199,-0.031752321895384086,False,LAMINAR
