Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.20913,1.20913,1.20926,1.209195,BUY,BUY,PROJECTED,0.5584,0.5494,-4.37142857143126e-05,RANGE,53,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,9.8,DATA_DRIVEN,12.4,DATA_DRIVEN,1.26,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.02093030487906456,-0.1970605538754281,True,0.684532666694941,NEUTRAL,0.023585845612649117,0.6419917981279406,0.7150000000005093,LAMINAR,-0.0026555407335845556,0.042540868567000345,0.13999999999936263,True,True,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.0447,41.37,750,,0,LONDON,37.53,WATCH,quality 37.5 < 62 | status historis AVOID | winrate historis 41.37% < 45.00% | expectancy historis -0.0447R < 0.0200R | maturity proyeksi 0.56 < 0.62,45.490563333474704
AUDUSD.m,0.70706,0.70706,0.70712,0.70709,NEUTRAL,NEUTRAL,NEUTRAL,0.056,0.2186,-0.0002162857142857299,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,8.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.10851094222700695,0.047781717232501075,True,0.5928193996044006,NEUTRAL,0.03120535935169052,0.6101671230017613,0.54000000000014,LAMINAR,0.07730558287531644,-0.017347723397360792,0.06999999999968132,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0318,41.72,826,,0,LONDON,18.91,NEUTRAL,Belum ada arah BUY/SELL matang.,17.343796998022004
AUDJPY.m,113.234,113.234,113.246,113.24,NEUTRAL,NEUTRAL,NEUTRAL,0.2776,0.3801,-0.023857142857150352,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,12.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.2000000000000455,1.05,0.0,0.0,0.0,0.0,False,,0.0,0.720000000000016,LAMINAR,False,0.8200000000000159,0.08419619671307049,-0.06120277402725999,False,0.6712224855045059,NEUTRAL,0.004570906861439535,0.6717510161654019,0.6799999999998448,LAMINAR,0.07962528985163096,-0.0005285306608959761,0.1400000000001711,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1164,49.71,840,,0,LONDON,22.23,NEUTRAL,Belum ada arah BUY/SELL matang.,24.932212427522533
CHFJPY.m,201.595,201.595,201.619,201.607,NEUTRAL,NEUTRAL,NEUTRAL,0.2552,0.372,-0.021628571428567056,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,14.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,2.400000000000091,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.06703350836283645,0.33146086314710266,True,0.7086659572513154,NEUTRAL,0.030515339152422473,0.6309217708978943,1.0650000000001911,STRESSED,0.036518169210413974,0.07774418635342117,0.03499999999980896,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,AVOID,-0.1405,36.11,838,,0,LONDON,5.28,NEUTRAL,Belum ada arah BUY/SELL matang.,12.295329786256577
EURAUD.m,1.64073,1.64073,1.6408399999999999,1.640785,NEUTRAL,NEUTRAL,NEUTRAL,0.388,0.4189,0.0002905714285714267,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,13.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.0999999999983243,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6849999999994134,LAMINAR,False,0.7849999999994134,0.039963630108956184,0.19959712916472488,False,0.5927843898301356,NEUTRAL,0.04325227856350576,0.5667901188151534,0.6100000000005985,LAMINAR,-0.0032886484545495767,0.025994271014982195,0.17499999999881488,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1,LONDON,17.58,NEUTRAL,Belum ada arah BUY/SELL matang.,22.808121949150678
EURCAD.m,1.62135,1.62135,1.62144,1.6213950000000001,SELL,SELL,PROJECTED,0.8228,0.7117,9.885714285725622e-05,RANGE,62,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,7.6,DATA_DRIVEN,9.5,DATA_DRIVEN,1.25,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.0038001576764078466,0.3504606085697755,False,0.7141156734475191,NEUTRAL,0.019773121908788938,0.6639431142046714,0.7499999999999615,LAMINAR,-0.015972964232381093,0.05017255924284769,-0.03500000000022929,True,False,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.1581,34.83,757,,0,LONDON,44.75,WATCH,quality 44.8 < 62 | status historis AVOID | winrate historis 34.83% < 45.00% | expectancy historis -0.1581R < 0.0200R,54.029478367237594
EURCHF.m,0.92157,0.92157,0.92164,0.921605,NEUTRAL,NEUTRAL,NEUTRAL,0.3708,0.396,6.485714285719232e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,6.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.023088730487780488,-0.08104550673375814,True,0.5751740678505369,NEUTRAL,0.00843378341822404,0.6298394969772347,0.5749999999999807,LAMINAR,0.014654947069556447,-0.054665429126697807,0.0700000000000699,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0096,43.14,801,,0,LONDON,24.25,NEUTRAL,Belum ada arah BUY/SELL matang.,25.520570339252686
EURGBP.m,0.86337,0.86337,0.86342,0.8633949999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.4465,0.4758,4.857142857210722e-06,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,5.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.0019085171252800008,0.08664583389723292,True,0.6874923877337826,NEUTRAL,0.004765527839656601,0.6804123242890558,0.6450000000000506,LAMINAR,-0.0028570107143765996,0.007080063444726781,-0.0700000000000699,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0461,46.3,813,1.25,1,LONDON,34.44,NEUTRAL,Belum ada arah BUY/SELL matang.,33.59626193866891
EURJPY.m,185.797,185.797,185.807,185.802,NEUTRAL,NEUTRAL,NEUTRAL,0.092,0.2383,-0.006571428571418595,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,12.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.04121573910110454,0.1344375014203294,False,0.6009870567416588,NEUTRAL,0.03339054247178092,0.5869611612683221,0.7500000000006765,LAMINAR,0.00782519662932362,0.014025895473336658,-9.947598300641403e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0078,43.87,772,,0,LONDON,17.31,NEUTRAL,Belum ada arah BUY/SELL matang.,17.569435283708295
EURUSD.m,1.16018,1.16018,1.1602000000000001,1.16019,NEUTRAL,NEUTRAL,NEUTRAL,0.2367,0.3014,-0.00014657142857135767,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,8.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.20000000000131024,0.18,0.0,0.0,0.0,0.0,False,,0.0,0.3700000000004586,LAMINAR,False,0.4700000000004586,0.06401465093595905,0.15587840519793322,True,0.5305215400812153,NEUTRAL,0.005371113742285579,0.6390801468737264,0.46999999999968145,LAMINAR,0.058643537193673476,-0.10855860679251106,7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0451,41.05,802,,0,LONDON,24.75,NEUTRAL,Belum ada arah BUY/SELL matang.,22.975507700406073
