Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.21328,1.21328,1.21337,1.213325,SELL,SELL,PROJECTED,0.7925,0.6792,0.0006654285714285666,TREND,60,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.21328,11.4,114.0,1.21442,DATA_DRIVEN,16.5,165.0,1.21163,DATA_DRIVEN,1.45,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.06809065645298729,0.3480037325145781,False,0.66659108050864,NEUTRAL,0.08610832847520643,0.7604456348597911,0.7850000000001905,LAMINAR,-0.01801767202221914,-0.09385455435115109,-0.0699999999996812,True,False,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.0447,41.37,750,,0,LONDON_NY_OVERLAP,47.65,WATCH,quality 47.6 < 62 | status historis AVOID | winrate historis 41.37% < 45.00% | expectancy historis -0.0447R < 0.0200R,55.972455402543204
AUDUSD.m,0.70838,0.70838,0.70843,0.708405,NEUTRAL,NEUTRAL,NEUTRAL,0.5062,0.4822,0.0002500000000000025,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.70838,7.4,74.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.048052171436717535,-0.13360141206920326,True,0.5811180411866675,NEUTRAL,0.09601574745735848,0.5784945090928777,0.5749999999999807,LAMINAR,-0.04796357602064095,0.0026235320937898488,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0318,41.72,826,,0,LONDON_NY_OVERLAP,27.75,NEUTRAL,Belum ada arah BUY/SELL matang.,29.350490205933337
AUDJPY.m,113.44,113.44,113.45,113.445,NEUTRAL,NEUTRAL,NEUTRAL,0.3449,0.3864,0.050428571428568915,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,113.44,10.8,108.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.0000000000005116,0.88,0.0,0.0,0.0,0.0,False,,0.0,0.6500000000001791,LAMINAR,False,0.7500000000001791,0.059725353694899605,-0.014324578527390094,True,0.5902749173422657,NEUTRAL,0.11357000717269032,0.7002019854026821,0.715000000000012,LAMINAR,-0.053844653477790716,-0.10992706806041641,0.03500000000016712,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1164,49.71,840,,0,LONDON_NY_OVERLAP,24.61,NEUTRAL,Belum ada arah BUY/SELL matang.,26.913274586711328
CHFJPY.m,201.874,201.874,201.894,201.88400000000001,BUY,BUY,PROJECTED,0.6832,0.6214,-0.03365714285715373,RANGE,60,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,201.874,17.6,176.0,201.698,DATA_DRIVEN,22.3,223.0,202.097,DATA_DRIVEN,1.26,2.000000000001023,1.75,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.03890292473811242,-0.26600221604477325,True,0.6559545790953484,NEUTRAL,0.014228675604905231,0.6954357676096723,0.9949999999998568,STRESSED,0.024674249133207184,-0.03948118851432392,0.10500000000014331,True,False,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.1405,36.11,838,,0,LONDON_NY_OVERLAP,32.81,WATCH,quality 32.8 < 62 | status historis AVOID | winrate historis 36.11% < 45.00% | expectancy historis -0.1405R < 0.0200R,44.821272895476746
EURAUD.m,1.6379000000000001,1.6379000000000001,1.6379700000000001,1.6379350000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.2801,0.3865,-0.0010320000000000492,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,1.6379,17.9,179.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.09987153577279961,-0.17629959557502406,False,0.6919135786295518,NEUTRAL,0.14484322500435354,0.8308290105733251,0.7150000000005093,LAMINAR,-0.044971689231553924,-0.13891543194377332,-0.0700000000004587,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1,LONDON_NY_OVERLAP,19.59,NEUTRAL,Belum ada arah BUY/SELL matang.,22.682867893147762
EURCAD.m,1.62183,1.62183,1.6219000000000001,1.6218650000000001,BUY,BUY,PROJECTED,0.6942,0.6098,-0.00047228571428569415,RANGE,69,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.62183,10.9,109.0,1.62074,DATA_DRIVEN,13.8,138.0,1.62321,DATA_DRIVEN,1.27,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.05838958273803907,-0.10877410244747138,False,0.6359099052378674,NEUTRAL,0.08084675767977566,0.7301269079698035,0.68000000000028,LAMINAR,-0.022457174941736588,-0.09421700273193612,-0.0350000000002294,True,False,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.1581,34.83,757,,0,LONDON_NY_OVERLAP,45.39,WATCH,quality 45.4 < 62 | status historis AVOID | winrate historis 34.83% < 45.00% | expectancy historis -0.1581R < 0.0200R,53.192849526189335
EURCHF.m,0.92041,0.92041,0.92047,0.9204399999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.2358,0.3538,-1.0285714285730112e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.92041,6.0,60.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.6000000000005999,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.51000000000021,LAMINAR,False,0.6100000000002099,0.00014492903457135795,-0.027269301697268364,True,0.7069885788102053,NEUTRAL,0.016578694317608566,0.5988538182318359,0.5749999999999807,LAMINAR,-0.016433765283037208,0.10813476057836935,0.03500000000022918,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0096,43.14,801,,0,LONDON_NY_OVERLAP,23.41,NEUTRAL,Belum ada arah BUY/SELL matang.,23.55764289405103
EURGBP.m,0.86344,0.86344,0.86349,0.8634649999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.3858,0.4269,-0.00026228571428574303,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,0.86344,5.7,57.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.060906702740508224,-0.03810433348600942,False,0.6437083686418299,NEUTRAL,0.06766714524810058,0.6771331963742373,0.54000000000014,LAMINAR,-0.0067604425075923555,-0.0334248277324074,0.034999999999840714,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0461,46.3,813,0.125,2,LONDON_NY_OVERLAP,29.59,NEUTRAL,Belum ada arah BUY/SELL matang.,29.738641843209148
EURJPY.m,185.818,185.818,185.825,185.82150000000001,BUY,BUY,PROJECTED,0.84,0.6792,-0.033971428571441524,RANGE,61,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,185.818,12.0,120.0,185.698,DATA_DRIVEN,15.2,152.0,185.97,DATA_DRIVEN,1.27,0.699999999997658,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5449999999991803,LAMINAR,False,0.6449999999991802,0.036814543821496126,-0.1624289413702801,True,0.5608427969423376,NEUTRAL,0.032300714290857714,0.5900872511653794,0.7150000000005093,LAMINAR,0.004513829530638412,-0.029244454223041783,-0.07000000000132911,True,False,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair watch-only butuh confidence lebih tinggi untuk proyeksi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,WATCH_ONLY,0.0078,43.87,772,,0,LONDON_NY_OVERLAP,50.12,WATCH,quality 50.1 < 62 | winrate historis 43.87% < 45.00% | expectancy historis 0.0078R < 0.0200R,58.36221398471169
EURUSD.m,1.16033,1.16033,1.16034,1.160335,BUY,BUY,STRICT,1.1429,0.847,-0.0003197142857142775,RANGE,83,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.16033,9.2,92.0,1.15941,DATA_DRIVEN,11.6,116.0,1.16149,DATA_DRIVEN,1.26,0.09999999999843466,0.09,0.0,0.0,0.0,0.0,False,,0.0,0.3349999999994521,LAMINAR,False,0.43499999999945216,0.049700664699374085,-0.1980909028044266,False,0.5282625759624631,BUY,0.047112272613539355,0.5387162030437955,0.4700000000004586,LAMINAR,0.00258839208583473,-0.010453627081332462,-0.03500000000100645,False,False,LAMINAR,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,LAMINAR,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.0451,41.05,802,,0,LONDON_NY_OVERLAP,65.42,WATCH,status historis AVOID | winrate historis 41.05% < 45.00% | expectancy historis -0.0451R < 0.0200R,74.77191287981233
