Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals
AUDNZD.m,1.20702,1.20702,1.20959,1.208305,NEUTRAL,RANGE,0,0.0,58.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,25.69999999999961,22.49,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.09813613501561372,-0.22433729960092927,False,0.746278953157266,NEUTRAL,0.008096775222730447,0.24945524426889007,0.6450000000000506,LAMINAR,0.09003935979288327,0.4968237088883759,0.45499999999994944,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
AUDUSD.m,0.70409,0.70409,0.70511,0.7046,NEUTRAL,RANGE,0,0.0,28.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,10.200000000000207,8.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.10277754234790377,0.272127400668754,False,0.6736779820675904,NEUTRAL,0.16130168384663748,0.15790212155331784,0.5749999999999807,LAMINAR,-0.05852414149873371,0.5157758605142726,0.5250000000000193,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
AUDJPY.m,112.813,112.813,112.98,112.8965,NEUTRAL,RANGE,0,0.0,41.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,16.70000000000016,14.61,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.09767340679945695,0.0529425528648379,False,0.7656744720935929,NEUTRAL,0.07649519090539716,0.16303766007261605,0.715000000000012,LAMINAR,0.021178215894059785,0.6026368120209769,0.38499999999998813,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,TRADEABLE,0.112,49.49,839,,0
CHFJPY.m,200.893,200.893,201.127,201.01,NEUTRAL,RANGE,0,0.0,54.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,23.400000000000887,20.48,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.08269777572377748,-0.23106216110722716,True,0.788722444096835,NEUTRAL,0.005510015890944905,0.3252595734238556,0.9599999999996897,STRESSED,0.07718775983283258,0.4634628706729794,0.14000000000031043,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
EURAUD.m,1.64052,1.64052,1.64276,1.64164,NEUTRAL,RANGE,0,0.0,52.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,22.400000000000198,19.6,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.05808652184114792,-0.37740605401593086,True,0.6445353473431434,SELL,0.08210253424856925,0.20148837593206312,0.7149999999997322,LAMINAR,-0.024016012407421336,0.4430469714110803,0.3850000000002679,True,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,TRADEABLE,0.0365,45.45,818,,0
EURCAD.m,1.6171799999999998,1.6171799999999998,1.61897,1.618075,NEUTRAL,RANGE,0,0.0,43.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,17.900000000001803,15.66,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.041211024459738566,0.101467175887263,False,0.5576973562027534,NEUTRAL,0.052180353286600895,0.16509767701946398,0.6799999999995028,LAMINAR,-0.010969328826862329,0.3925996791832894,0.4200000000004973,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
EURCHF.m,0.92143,0.92143,0.92261,0.9220200000000001,NEUTRAL,RANGE,0,0.0,31.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,11.800000000000697,10.33,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.053807837939097665,-0.07057924174152308,False,0.6301959026567707,NEUTRAL,0.0006284184138175522,0.2829111759347016,0.5749999999999807,LAMINAR,0.05317941952528011,0.3472847267220691,0.5250000000000193,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
EURGBP.m,0.8624,0.8624,0.86338,0.86289,NEUTRAL,RANGE,0,0.0,28.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,9.799999999999809,8.57,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.03334800004069985,-0.05957864422393777,False,0.4460447064190778,SELL,0.008029817941537114,0.22933145677237468,0.5749999999999807,LAMINAR,0.025318182099162735,0.2167132496467031,0.5250000000000193,True,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,TRADEABLE,0.046,46.3,813,,0
EURJPY.m,185.223,185.223,185.446,185.3345,NEUTRAL,RANGE,0,0.0,51.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,22.299999999998477,19.51,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.08393220132640025,-0.22506870023825498,True,0.7172633842564764,NEUTRAL,0.003840671681914575,0.3155276186029359,0.6799999999993475,LAMINAR,0.08009152964448568,0.4017357656535405,0.42000000000065263,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
EURUSD.m,1.15643,1.15643,1.15697,1.1567,NEUTRAL,RANGE,0,0.0,19.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,5.3999999999998485,4.72,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.05692659664931335,0.02759768028787546,True,0.6553303511121431,NEUTRAL,0.08145614111919214,0.12854563267949579,0.46999999999968145,LAMINAR,-0.02452954446987879,0.5267847184326473,0.6300000000003186,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
GBPAUD.m,1.90151,1.90151,1.90375,1.90263,NEUTRAL,RANGE,0,0.0,52.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,22.400000000000198,19.6,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.05866938320520197,-0.36911018959139197,False,0.5982528623925936,NEUTRAL,0.07546404309921616,0.24160581562322914,0.8200000000004198,LAMINAR,-0.016794659894014186,0.35664704676936443,0.27999999999958025,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
GBPCHF.m,1.06802,1.06802,1.0692,1.06861,NEUTRAL,RANGE,0,0.0,31.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,11.799999999999589,10.32,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.05533426207367884,-0.06248913870701815,True,0.7235730207895059,NEUTRAL,0.0068257811809892075,0.27248422413562884,0.6450000000000506,LAMINAR,0.04850848089268964,0.4510887966538771,0.45499999999994944,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
GBPJPY.m,214.683,214.683,214.917,214.8,NEUTRAL,RANGE,0,0.0,54.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,23.400000000000887,20.48,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.08680764915197219,-0.22297258028663497,False,0.8054876684317607,NEUTRAL,0.002635379329632834,0.30618632558607345,0.9949999999998568,STRESSED,0.08417226982233936,0.4993013428456872,0.10500000000014331,False,True,CRITICAL_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
GBPUSD.m,1.33984,1.33984,1.34134,1.34059,NEUTRAL,RANGE,0,0.0,38.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,15.000000000000568,13.13,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.09636377367163176,-0.011434120902069148,True,0.7273102860729517,NEUTRAL,0.08775798676779777,0.11369666851626384,0.6100000000005985,LAMINAR,0.008605786903833998,0.6136136175566879,0.4899999999994016,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
NZDUSD.m,0.58263,0.58263,0.58363,0.5831299999999999,NEUTRAL,RANGE,0,0.0,28.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,10.000000000000009,8.75,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.11026924281267594,0.3468854466829965,False,0.6522657917593239,NEUTRAL,0.16999532867067887,0.11279507736038448,0.5399999999997513,LAMINAR,-0.05972608585800293,0.5394707143989393,0.5600000000002487,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
