Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals
AUDNZD.m,1.20702,1.20702,1.20959,1.208305,NEUTRAL,RANGE,0,0.0,58.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,25.69999999999961,22.49,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.09813613501561372,-0.22433729960092927,False,0.746278953157266,NEUTRAL,0.09813613501561372,0.746278953157266,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
AUDUSD.m,0.70409,0.70409,0.70511,0.7046,NEUTRAL,RANGE,0,0.0,28.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,10.200000000000207,8.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.10277754234790377,0.272127400668754,False,0.6736779820675904,NEUTRAL,0.10277754234790377,0.6736779820675904,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
AUDJPY.m,112.813,112.813,112.98,112.8965,NEUTRAL,RANGE,0,0.0,41.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,16.70000000000016,14.61,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.09767340679945695,0.0529425528648379,False,0.7656744720935929,NEUTRAL,0.09767340679945695,0.7656744720935929,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,TRADEABLE,0.112,49.49,839,,0
CHFJPY.m,200.893,200.893,201.127,201.01,NEUTRAL,RANGE,0,0.0,54.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,23.400000000000887,20.48,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.08269777572377748,-0.23106216110722716,True,0.788722444096835,NEUTRAL,0.08269777572377748,0.788722444096835,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
EURAUD.m,1.64052,1.64052,1.64276,1.64164,NEUTRAL,RANGE,0,0.0,52.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,22.400000000000198,19.6,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.05808652184114792,-0.37740605401593086,True,0.6445353473431434,NEUTRAL,0.05808652184114792,0.6445353473431434,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,TRADEABLE,0.0365,45.45,818,-1.0,1
EURCAD.m,1.6171799999999998,1.6171799999999998,1.61897,1.618075,NEUTRAL,RANGE,0,0.0,43.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,17.900000000001803,15.66,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.041211024459738566,0.101467175887263,False,0.5576973562027534,NEUTRAL,0.041211024459738566,0.5576973562027534,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
EURCHF.m,0.92143,0.92143,0.92261,0.9220200000000001,NEUTRAL,RANGE,0,0.0,31.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,11.800000000000697,10.33,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.053807837939097665,-0.07057924174152308,False,0.6301959026567707,NEUTRAL,0.053807837939097665,0.6301959026567707,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
EURGBP.m,0.8624,0.8624,0.86338,0.86289,NEUTRAL,RANGE,0,0.0,28.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,9.799999999999809,8.57,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.03334800004069985,-0.05957864422393777,False,0.4460447064190778,NEUTRAL,0.03334800004069985,0.4460447064190778,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,TRADEABLE,0.046,46.3,813,1.25,1
EURJPY.m,185.223,185.223,185.446,185.3345,NEUTRAL,RANGE,0,0.0,51.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,22.299999999998477,19.51,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.08393220132640025,-0.22506870023825498,True,0.7172633842564764,NEUTRAL,0.08393220132640025,0.7172633842564764,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
EURUSD.m,1.15643,1.15643,1.15697,1.1567,NEUTRAL,RANGE,0,0.0,19.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,5.3999999999998485,4.72,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.05692659664931335,0.02759768028787546,True,0.6553303511121431,NEUTRAL,0.05692659664931335,0.6553303511121431,1.1,VOID,0.0,0.0,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
