Symbol,Asset_Class,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Historical_Optimizer_ZF_Floor,Kelly_Full,Kelly_Risk_Multiplier,Dynamic_Lot,Entry_Price,Entry_Model,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Fibo_Position,Fibo_Aligned,Fibo_382,Fibo_500,Fibo_618,Metal_Gate_Ok,OKX_Status,OKX_Instrument,OKX_Last,OKX_Funding_Rate,OKX_Open_Interest,OKX_Open_Interest_USD,OKX_OI_Change_Pct,OKX_External_Stress,OKX_Funding_Bias,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
GBPCADm,forex,M15,DYNAMIC_SL_TP,4.54,1.87766,1.87766,1.87784,1.87775,NEUTRAL,NEUTRAL,NEUTRAL,0.6792,0.5216,0.00035714285714290723,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.87766,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7999999999984695,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999994644,STRESSED,False,1.0299999999994645,0.702,False,1.87482,1.87587,1.87692,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.010465748339575316,0.2882402682590004,False,0.36166272335632954,NEUTRAL,0.008801760033561692,0.484105493655822,1.0300000000002416,STRESSED,0.001663988306013624,-0.12244277029949246,-7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.633,81.25,17,,0,THIN_SESSION,33.6,NEUTRAL,Belum ada arah BUY/SELL matang.,42.71951361678165
EURAUDm,forex,M15,DYNAMIC_SL_TP,4.6,1.63809,1.63809,1.63826,1.638175,NEUTRAL,NEUTRAL,NEUTRAL,0.2408,0.2314,-0.00021714285714293267,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.63809,MARKET_REFERENCE,11.7,117.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7000000000000348,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000000122,STRESSED,False,0.9950000000000122,0.0928,False,1.64039,1.64133,1.64228,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.00986160385506678,-0.16065650397605638,True,0.27925666232396845,NEUTRAL,0.009589278326940282,0.46157071155315965,0.9950000000007894,STRESSED,0.00027232552812649774,-0.1823140492291912,-7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.6291,100.0,10,-1.0,1,THIN_SESSION,24.76,NEUTRAL,Belum ada arah BUY/SELL matang.,31.899883311619842
AUDCADm,forex,M15,DYNAMIC_SL_TP,6.41,0.99162,0.99162,0.9918,0.99171,NEUTRAL,NEUTRAL,NEUTRAL,0.6357,0.475,0.00031914285714283996,TREND,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.99162,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.8346,False,0.98924,0.98986,0.99048,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.019811976449138388,0.5662824870482897,True,0.2692074885213427,NEUTRAL,0.00035618849130502294,0.4640645437839034,1.0300000000002416,STRESSED,0.019455787957833367,-0.1948570552625607,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.4501,92.86,14,-1.0,1,THIN_SESSION,29.53,NEUTRAL,Belum ada arah BUY/SELL matang.,38.78833744260672
AUDCHFm,forex,M15,DYNAMIC_SL_TP,4.17,0.56147,0.56147,0.56156,0.561515,NEUTRAL,NEUTRAL,NEUTRAL,0.0137,0.0983,6.714285714287222e-05,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.56147,MARKET_REFERENCE,7.6,76.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.9242,False,0.55968,0.56007,0.56046,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.0058153767205171795,0.10360349581636023,True,0.294776052670997,NEUTRAL,0.015332511086604708,0.4563963715362314,0.7150000000001208,LAMINAR,-0.009517134366087528,-0.16162031886523442,-3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.4178,88.89,18,-1.0,1,THIN_SESSION,25.24,NEUTRAL,Belum ada arah BUY/SELL matang.,26.02868026335499
GBPNZDm,forex,M15,DYNAMIC_SL_TP,3.76,2.30003,2.30003,2.30027,2.30015,NEUTRAL,NEUTRAL,NEUTRAL,1.0413,0.7148,-0.0005751428571428466,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,2.30003,MARKET_REFERENCE,17.5,175.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.399999999997959,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.0774,False,2.30267,2.30369,2.30471,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.03188102416759948,-0.5253884582374282,False,0.2628191056675514,NEUTRAL,0.021559530530089875,0.40816343530273747,1.1,STRESSED,0.010321493637509602,-0.14534432963518606,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.2399,68.42,19,,0,THIN_SESSION,28.4,NEUTRAL,Belum ada arah BUY/SELL matang.,40.98769552833776
NZDCADm,forex,M15,DYNAMIC_SL_TP,6.58,0.81626,0.81626,0.81644,0.81635,NEUTRAL,NEUTRAL,NEUTRAL,0.9024,0.6483,0.0003577142857143385,TREND,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.81626,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.9777,False,0.81359,0.81411,0.81464,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.0348054653446864,0.7976020195855049,False,0.30472906071508543,NEUTRAL,0.023320550334340037,0.46597221314496096,1.029999999999853,STRESSED,0.011484915010346361,-0.16124315242987552,3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.2309,83.33,12,1.25,1,THIN_SESSION,39.74,NEUTRAL,Belum ada arah BUY/SELL matang.,46.33264530357543
AUDUSDm,forex,M15,DYNAMIC_SL_TP,3.77,0.70315,0.70315,0.70324,0.703195,NEUTRAL,NEUTRAL,NEUTRAL,0.668,0.4872,0.0002011428571427907,TREND,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.70315,MARKET_REFERENCE,9.5,95.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.4577,False,0.70254,0.70349,0.70444,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.001869199455669131,0.41660438897492497,False,0.24840144471269138,NEUTRAL,0.024794521654008812,0.3424031331947854,0.7150000000001208,LAMINAR,-0.022925322198339683,-0.094001688482094,-3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.1544,74.07,29,1.25,1,THIN_SESSION,39.69,NEUTRAL,Belum ada arah BUY/SELL matang.,40.920307223563455
EURCADm,forex,M15,DYNAMIC_SL_TP,6.71,1.62453,1.62453,1.6246800000000001,1.624605,NEUTRAL,NEUTRAL,NEUTRAL,0.8045,0.6066,0.0003040000000001359,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.62453,MARKET_REFERENCE,13.5,135.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.6647,False,1.62256,1.62338,1.62421,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.013862153908718785,0.3614733780081171,True,0.38227750383603043,SELL,0.01232352091573592,0.5490697131708646,0.9249999999995534,STRESSED,0.0015386329929828642,-0.16679220933483418,7.771561172376096e-13,True,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",WATCH_ONLY,0.1091,56.25,17,,0,THIN_SESSION,28.68,NEUTRAL,Belum ada arah BUY/SELL matang.,35.93018751918015
EURGBPm,forex,M15,DYNAMIC_SL_TP,3.82,0.86512,0.86512,0.86525,0.865185,NEUTRAL,NEUTRAL,NEUTRAL,0.5171,0.4827,-5.714285714386861e-07,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.86512,MARKET_REFERENCE,9.6,96.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.481,False,0.86496,0.86515,0.86534,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.0010504650595117085,0.09710277157812601,False,0.5631974654453181,NEUTRAL,0.00039405233172961073,0.7331935151969656,0.854999999999872,STRESSED,0.0006564127277820977,-0.1699960497516475,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.055,72.73,11,,0,THIN_SESSION,28.69,NEUTRAL,Belum ada arah BUY/SELL matang.,33.12748732722659
XAUUSDm,metal,M15,DYNAMIC_SL_TP,3.48,4319.142,4319.142,4319.422,4319.281999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.3743,0.4165,2.260828571428763,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,4319.142,MARKET_REFERENCE,1853.0,18530.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,27.999999999974534,24.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.6131,False,4281.331,4300.637,4319.942,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.09615061697636597,1.081005952851995,True,0.5546424638206198,NEUTRAL,0.07668178369137166,0.38011283308311467,1.1,VOID,0.01946883328499431,0.1745296307375051,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,FOCUS,-0.2613,44.83,29,,0,THIN_SESSION,0.0,NEUTRAL,Belum ada arah BUY/SELL matang.,10.258012319103099
