Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase
GBPAUD.m,1.9047800000000001,1.9047800000000001,1.90489,1.904835,NEUTRAL,RANGE,0,0.0,30.0,1.0999999999983243,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6849999999994134,LAMINAR,False,0.7849999999994134,0.03966169995480139,0.27038508244184195,False,0.9722331567793241,NEUTRAL,0.1056562612234063,0.2951559417694426,,,-0.0659945612686049,0.6770772150098815,,False,False,CRITICAL_MISMATCH,NORMAL,False,STANDBY,,ANOMALOUS
GBPCHF.m,1.06696,1.06696,1.06701,1.0669849999999999,NEUTRAL,RANGE,0,0.0,30.0,0.5000000000010552,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4750000000003693,LAMINAR,False,0.5750000000003693,0.01736291936205542,-0.06744518494585634,False,0.9999997892305656,NEUTRAL,0.041299768957968504,0.045275020664561294,,,-0.023936849595913082,0.9547247685660043,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
GBPJPY.m,214.777,214.777,214.796,214.7865,NEUTRAL,RANGE,0,0.0,30.0,1.9000000000005457,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.965000000000191,STRESSED,False,1.0650000000001911,0.011516088253832055,0.25702803279303027,True,0.9999998458505437,NEUTRAL,0.0773462766765437,0.12255736885977185,,,-0.06583018842271164,0.8774424769907718,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
GBPUSD.m,1.34104,1.34104,1.3411,1.34107,NEUTRAL,RANGE,0,0.0,30.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.047504994402191435,0.06491794882632247,True,0.9960077108048926,NEUTRAL,0.08588230402806009,0.018911555732787088,,,-0.038377309625868654,0.9770961550721055,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
NZDUSD.m,0.58268,0.58268,0.58273,0.582705,NEUTRAL,RANGE,0,0.0,30.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.09120646725562598,-0.015446316751164486,True,0.9965316849912969,NEUTRAL,0.20272414951978965,0.15406588942374327,,,-0.11151768226416367,0.8424657955675536,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
USDCAD.m,1.39829,1.39829,1.39838,1.3983349999999999,NEUTRAL,RANGE,0,0.0,30.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.008857329333389598,-0.019714290538223947,False,0.9999999996586564,NEUTRAL,0.024469272328034464,0.21268183119653142,,,-0.015611942994644867,0.787318168462125,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
USDCHF.m,0.79559,0.79559,0.79565,0.79562,NEUTRAL,RANGE,0,0.0,30.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.06597168337741588,-0.13472633124232303,True,0.9994079559982496,NEUTRAL,0.12714199190773484,0.03687712612916131,,,-0.06117030853031896,0.9625308298690883,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
USDJPY.m,160.158,160.158,160.164,160.161,NEUTRAL,RANGE,0,0.0,30.0,0.6000000000000227,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.510000000000008,LAMINAR,False,0.610000000000008,0.05876089455920105,0.0859150605805758,True,0.13273694435810013,NEUTRAL,0.1620103456806346,0.5291033106856765,,,-0.10324945112143355,-0.3963663663275764,,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR
AUDCAD.m,0.9844,0.9844,0.98447,0.984435,NEUTRAL,RANGE,0,0.0,30.0,0.6999999999990346,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5449999999996621,LAMINAR,False,0.6449999999996621,0.07766040248839648,-0.17234050046935445,False,0.8483620679413926,NEUTRAL,0.16621737013660956,0.26527995488617717,,,-0.08855696764821308,0.5830821130552154,,False,False,CRITICAL_MISMATCH,NORMAL,False,STANDBY,,ANOMALOUS
AUDCHF.m,0.56012,0.56012,0.56017,0.5601449999999999,NEUTRAL,RANGE,0,0.0,30.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.020792562590148264,-0.2731834158798361,False,0.9999999093631903,NEUTRAL,0.06401305301741998,0.01827438070961121,,,-0.04322049042727172,0.9817255286535791,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
EURNZD.m,1.98664,1.98664,1.98674,1.9866899999999998,NEUTRAL,RANGE,0,0.0,30.0,0.9999999999998899,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999999615,LAMINAR,False,0.7499999999999615,0.042185142609251366,0.28387328589501215,False,0.9998726489171319,NEUTRAL,0.10181140180322452,0.10539662134532504,,,-0.05962625919397316,0.8944760275718069,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
GBPCAD.m,1.87515,1.87515,1.87522,1.875185,NEUTRAL,RANGE,0,0.0,30.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.0392854009202029,0.053533151988022165,True,0.36202538517916605,NEUTRAL,0.06103462795835146,0.09240787247184967,,,-0.021749227038148564,0.2696175127073164,,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
GBPNZD.m,2.30138,2.30138,2.30153,2.301455,NEUTRAL,RANGE,0,0.0,30.0,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.044940709659379637,0.12196596283687963,False,0.9999517656996753,NEUTRAL,0.11617707027442913,0.193018100408845,,,-0.07123636061504948,0.8069336652908302,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
NZDCAD.m,0.81475,0.81475,0.81482,0.814785,NEUTRAL,RANGE,0,0.0,30.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.08362057364388423,-0.036298397900273775,True,0.9127117327866896,NEUTRAL,0.17782235408451294,0.23370654569270238,,,-0.09420178044062871,0.6790051870939873,,False,False,CRITICAL_MISMATCH,NORMAL,False,STANDBY,,ANOMALOUS
NZDCHF.m,0.46358,0.46358,0.46364,0.46360999999999997,NEUTRAL,RANGE,0,0.0,30.0,0.6000000000000448,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.5100000000000157,LAMINAR,False,0.6100000000000156,0.02575172038336854,-0.16166059841395847,False,0.9999743413639754,NEUTRAL,0.07616189564541233,0.052325492359453364,,,-0.05041017526204379,0.9476488490045221,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
NZDJPY.m,93.322,93.322,93.331,93.32650000000001,NEUTRAL,RANGE,0,0.0,30.0,0.9000000000000341,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.615000000000012,LAMINAR,False,0.715000000000012,0.03313428300077956,0.0775846349433918,False,0.9999807279791011,NEUTRAL,0.04088012477496307,0.16138999650232932,,,-0.007745841774183512,0.8385907314767718,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
XAGUSD.m,67.221,67.221,67.248,67.2345,NEUTRAL,RANGE,0,0.0,30.0,2.7000000000001023,2.36,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.764944799762002,2.2847455524914295,True,0.735161270451215,NEUTRAL,1.0566124858500316,0.03695088664586819,,,-0.2916676860880296,0.6982103838053468,,False,False,RESONANCE_MISMATCH,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,ANOMALOUS
XAUUSD.m,4218.6,4218.6,4218.82,4218.71,NEUTRAL,RANGE,0,0.0,30.0,21.999999999934516,19.25,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.5058747106305532,2.797329121263293,False,0.9975778533240753,NEUTRAL,0.8248095255308511,0.011629948240299453,,,-0.31893481490029785,0.9859479050837758,,False,False,CRITICAL_MISMATCH,CIRCUIT_BREAKER,False,PERTAHANAN SISTEMIK,ZF-Score melewati circuit breaker; jangan eksekusi.,FRACTURE
