Symbol,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
UKOILm,H4,TP_ONLY,39.95,82.354,82.34,82.37,82.355,NEUTRAL,NEUTRAL,NEUTRAL,0.6445,0.6817,-0.011999999999999613,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,82.354,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,3.0000000000001137,2.63,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.8779753380012627,-17.924473698700776,False,0.650487451528869,,,,,,,,0.0,False,False,NEW_SYMBOL,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.9458,94.58,166,,0,THIN_SESSION,32.83,NEUTRAL,Belum ada arah BUY/SELL matang.,46.753737257644346
USOILm,H4,TP_ONLY,52.04,79.392,79.364,79.384,79.374,NEUTRAL,NEUTRAL,NEUTRAL,0.3146,0.4974,0.15222857142856708,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,79.392,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,1.999999999999602,1.75,0.0,0.0,0.0,0.0,False,,0.0,0.9999999999998608,STRESSED,False,1.0999999999998609,1.1650235557004749,-13.061928709521014,False,0.6954536173566267,,,,,,,,0.0,False,False,NEW_SYMBOL,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9255,92.55,188,,0,THIN_SESSION,35.15,NEUTRAL,Belum ada arah BUY/SELL matang.,42.65136808678313
USDJPYm,H4,TP_ONLY,81.62,160.223,160.223,160.233,160.228,NEUTRAL,NEUTRAL,NEUTRAL,0.0116,0.0879,0.02731428571428763,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,160.223,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.016385419125028514,0.04624382834952474,True,0.23906502455678116,,,,,,,,0.0,False,False,NEW_SYMBOL,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9051,90.51,158,,0,THIN_SESSION,34.95,NEUTRAL,Belum ada arah BUY/SELL matang.,35.08502512278391
GBPJPYm,H4,TP_ONLY,97.13,214.776,214.776,214.803,214.7895,NEUTRAL,NEUTRAL,NEUTRAL,0.3027,0.3086,-0.04571428571429896,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,214.776,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,2.6999999999986812,2.36,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.1058494284336536,0.7712480084897346,True,0.3461504597767212,,,,,,,,0.0,False,False,NEW_SYMBOL,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.8932,89.32,206,,0,THIN_SESSION,26.35,NEUTRAL,Belum ada arah BUY/SELL matang.,35.357652298883615
EURNZDm,H4,TP_ONLY,85.31,1.99363,1.99363,1.9938500000000001,1.99374,NEUTRAL,NEUTRAL,NEUTRAL,0.0245,0.18,0.001413428571428578,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.99363,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,2.2000000000010895,1.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.21496293933506652,0.9493551616100745,True,0.4272765172582182,,,,,,,,0.0,False,False,NEW_SYMBOL,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8782,87.82,238,,0,THIN_SESSION,25.67,NEUTRAL,Belum ada arah BUY/SELL matang.,30.698082586291093
EURAUDm,H4,TP_ONLY,142.4,1.64029,1.64029,1.64046,1.6403750000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.6265,0.502,-0.0003308571428571011,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.64029,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,1.7000000000000348,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000000122,STRESSED,False,0.9950000000000122,0.08438808039489064,-0.6825205496540582,False,0.41746863748836727,NEUTRAL,0.0320490625706103,0.6565685193996705,0.9950000000000122,STRESSED,0.05233901782428034,-0.23909988191130327,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8395,83.95,162,,0,THIN_SESSION,39.88,NEUTRAL,Belum ada arah BUY/SELL matang.,47.477343187441846
CADJPYm,H4,TP_ONLY,144.14,114.461,114.461,114.478,114.4695,NEUTRAL,NEUTRAL,NEUTRAL,0.2334,0.2354,-0.013885714285715493,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,114.461,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,1.6999999999995907,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8949999999998568,STRESSED,False,0.9949999999998568,0.04104604009284933,-0.059942293476429445,True,0.3144616856058972,NEUTRAL,0.007327087433979956,0.697915310308995,0.9949999999998568,STRESSED,0.03371895265886937,-0.3834536247030978,0.0,False,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",TRADEABLE,0.8125,81.25,176,,0,THIN_SESSION,31.64,NEUTRAL,Belum ada arah BUY/SELL matang.,35.70870842802949
GBPCADm,H4,TP_ONLY,148.67,1.8762699999999999,1.8762699999999999,1.87645,1.87636,NEUTRAL,NEUTRAL,NEUTRAL,0.1909,0.274,-0.00017000000000008358,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.87627,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.06886123609120842,0.8007691069272868,True,0.45724915072449335,,,,,,,,0.0,False,False,NEW_SYMBOL,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8053,80.53,190,,0,THIN_SESSION,30.74,NEUTRAL,Belum ada arah BUY/SELL matang.,35.13244575362247
GBPNZDm,H4,TP_ONLY,110.51,2.30631,2.30631,2.30655,2.3064299999999998,NEUTRAL,NEUTRAL,NEUTRAL,0.0762,0.2147,0.0016599999999998098,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,2.30631,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,2.4000000000023998,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.19611484482787983,0.5867283074911473,True,0.44397154877067047,,,,,,,,0.0,False,False,NEW_SYMBOL,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.7921,79.21,202,,0,THIN_SESSION,23.33,NEUTRAL,Belum ada arah BUY/SELL matang.,28.944157743853353
GBPCHFm,H4,TP_ONLY,169.13,1.06553,1.06553,1.06568,1.0656050000000001,BUY,BUY,STRICT,1.0616,0.8345,7.428571428569194e-05,RANGE,73,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.01,1.06553,,,,TANPA_SL_TP_ONLY,50.0,500.0,1.07053,TP_ONLY_50_PIPS,,1.4999999999987244,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8249999999995534,STRESSED,False,0.9249999999995534,0.00382549284720732,-0.808964356013785,False,0.634189423389193,,,,,,,,0.0,False,False,NEW_SYMBOL,NORMAL,True,EKSEKUSI,,STRESSED,Setup BUY valid. Entry manual boleh dipertimbangkan dengan SL/TP yang tampil. Akurasi historis resolved sekitar 79.13%.,TRADEABLE,0.7913,79.13,206,,0,THIN_SESSION,65.43,PASS,,81.94384711694597
