Symbol,Close,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,Drift,ZF_Score
AUDNZD.m,1.20834,NEUTRAL,RANGE,0,0.0,30.0,0.0084376829967763,0.4511771807033151
AUDUSD.m,0.70336,NEUTRAL,RANGE,0,0.0,30.0,0.05258051171516381,0.20523740403936788
AUDJPY.m,112.701,NEUTRAL,RANGE,0,0.0,30.0,0.005043048574928303,0.34184215892504594
CHFJPY.m,201.248,NEUTRAL,RANGE,0,0.0,30.0,0.014067284905803785,0.3165776930152114
EURAUD.m,1.64474,SELL,RANGE,83,0.5,30.0,0.025854373049757254,0.22574130124770062
EURCAD.m,1.6182400000000001,NEUTRAL,RANGE,0,0.0,30.0,0.061921514008225764,0.20864678405944262
EURCHF.m,0.92106,NEUTRAL,TREND,0,0.0,30.0,0.016549336117027882,0.211193472047404
EURGBP.m,0.86337,NEUTRAL,RANGE,0,0.0,30.0,0.03594956659747558,0.11785649605559108
EURJPY.m,185.376,NEUTRAL,RANGE,0,0.0,30.0,0.02840326300938178,0.15899866582450395
EURUSD.m,1.1569099999999999,NEUTRAL,RANGE,0,0.0,30.0,0.027640621011416892,0.15691601272064137
GBPAUD.m,1.9049399999999999,NEUTRAL,RANGE,0,0.0,30.0,0.06163011426135742,0.09978934953663775
GBPCHF.m,1.06679,NEUTRAL,RANGE,0,0.0,30.0,0.05133615956802919,0.03502774383625456
GBPJPY.m,214.697,NEUTRAL,RANGE,0,0.0,30.0,0.06488017984745066,0.07213122885983395
GBPUSD.m,1.33992,NEUTRAL,RANGE,0,0.0,30.0,0.008033174054851211,0.12907822816802295
NZDUSD.m,0.58205,NEUTRAL,RANGE,0,0.0,30.0,0.060047094479186346,0.07860198151911252
USDCAD.m,1.39882,NEUTRAL,RANGE,0,0.0,30.0,0.034900053865297403,0.23032060385461745
USDCHF.m,0.79613,NEUTRAL,RANGE,0,0.0,30.0,0.04307350048535896,0.23684672038342103
USDJPY.m,160.231,NEUTRAL,RANGE,0,0.0,30.0,0.05731590740586856,0.0032504716457695437
AUDCAD.m,0.98386,NEUTRAL,RANGE,0,0.0,30.0,0.0872305786989686,0.15406064778078576
AUDCHF.m,0.55998,NEUTRAL,RANGE,0,0.0,30.0,0.00981392945616725,0.4613546994480797
EURNZD.m,1.98749,NEUTRAL,RANGE,0,0.0,30.0,0.03310890479079283,0.1955139289681135
GBPCAD.m,1.8742999999999999,NEUTRAL,RANGE,0,0.0,30.0,0.026737773072444126,0.11216985426419529
GBPNZD.m,2.30191,NEUTRAL,RANGE,0,0.0,30.0,0.06889357782557298,0.029818214994601577
NZDCAD.m,0.81417,NEUTRAL,RANGE,0,0.0,30.0,0.0944365301625234,0.0017511384140680127
NZDCHF.m,0.4634,NEUTRAL,RANGE,0,0.0,30.0,0.018368011026586088,0.2507465801765131
NZDJPY.m,93.264,NEUTRAL,RANGE,0,0.0,30.0,0.003553275939911976,0.22239160011443007
XAGUSD.m,66.623,NEUTRAL,RANGE,0,0.0,30.0,0.3769632836504869,0.2759218695881741
XAUUSD.m,4202.84,NEUTRAL,RANGE,0,0.0,30.0,0.5215172032390878,0.2030283425560541
