Symbol,Asset_Class,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Historical_Optimizer_ZF_Floor,Kelly_Full,Kelly_Risk_Multiplier,Dynamic_Lot,Entry_Price,Entry_Model,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Fibo_Position,Fibo_Aligned,Fibo_382,Fibo_500,Fibo_618,Metal_Gate_Ok,OKX_Status,OKX_Instrument,OKX_Last,OKX_Funding_Rate,OKX_Open_Interest,OKX_Open_Interest_USD,OKX_OI_Change_Pct,OKX_External_Stress,OKX_Funding_Bias,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
GBPCADm,forex,M15,DYNAMIC_SL_TP,4.54,1.87729,1.87729,1.87747,1.87738,NEUTRAL,NEUTRAL,NEUTRAL,1.1093,0.8913,2.571428571466478e-06,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.87729,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.6603,False,1.87482,1.87587,1.87692,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.016573758725609542,0.6034659645441398,True,0.7176694221570263,NEUTRAL,0.01848515183052617,0.7154662833260768,1.0300000000010188,STRESSED,-0.0019113931049166283,0.0022031388309495803,-7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.633,81.25,17,,0,THIN_SESSION,41.46,NEUTRAL,Belum ada arah BUY/SELL matang.,55.70414711078513
CADCHFm,forex,M15,DYNAMIC_SL_TP,7.28,0.56636,0.56636,0.56644,0.5664,BUY,NEUTRAL,STRICT,1.25,0.9489,2.285714285711464e-05,TREND,83,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.84,0.56636,ZF_FIBO_BUY_LIMIT,8.9,89.0,0.56547,DATA_DRIVEN,11.1,111.0,0.56747,DATA_DRIVEN,1.25,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.4932,True,0.56603,0.56638,0.56673,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.022085168049767134,-0.4300465110016688,True,0.6366606304783854,BUY,0.02575845776231276,0.6276913161051783,0.68000000000028,LAMINAR,-0.0036732897125456264,0.008969314373207138,0.0,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,LAMINAR,Setup BUY valid. Entry manual boleh dipertimbangkan dengan SL/TP yang tampil. Akurasi historis resolved sekitar 81.25%.,TRADEABLE,0.3989,81.25,17,,0,THIN_SESSION,75.13,PASS,,89.13600315239192
GBPNZDm,forex,M15,DYNAMIC_SL_TP,3.43,2.29836,2.29836,2.2986,2.29848,BUY,BUY,STRICT,1.0117,0.8391,-0.0003431428571428991,RANGE,73,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.55,0.0,0.5,0.0,2.29836,ZF_FIBO_BUY_LIMIT,15.6,156.0,2.2968,DATA_DRIVEN,19.8,198.0,2.30034,DATA_DRIVEN,1.27,2.399999999997959,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.0021,True,2.30204,2.30318,2.30432,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.0163147304475065,-0.5941002547640165,True,0.7424206270078615,BUY,0.01648396343549483,0.7417026455265088,1.1,STRESSED,-0.00016923298798832836,0.0007179814813527141,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.3584,73.33,15,,0,THIN_SESSION,57.96,PASS,,73.65090313503931
USDCHFm,forex,M15,DYNAMIC_SL_TP,7.1,0.79881,0.79881,0.79894,0.798875,NEUTRAL,NEUTRAL,NEUTRAL,1.1368,0.8999,0.00012199999999994286,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.79881,MARKET_REFERENCE,9.6,96.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.7469,False,0.79497,0.79622,0.79746,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.029122733289836465,-0.7685458637141533,True,0.6671870178627902,NEUTRAL,0.04824141259462897,0.647307311635693,0.854999999999872,STRESSED,-0.019118679304792503,0.019879706227097227,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.2677,65.22,29,,0,THIN_SESSION,39.82,NEUTRAL,Belum ada arah BUY/SELL matang.,50.78493508931395
BTCJPYm,crypto,M15,DYNAMIC_SL_TP,4.88,10384962.0,10384962.0,10387202.0,10386082.0,NEUTRAL,NEUTRAL,NEUTRAL,0.0816,0.2523,1985.0857142857876,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.55,0.0,0.5,0.0,10384962.0,MARKET_REFERENCE,35382.6,35383.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2240.0,1960.0,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.3358,False,10402547.252,10447421.0,10492294.748,True,"ERROR: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/market/ticker?instId=BTC-USDT-SWAP (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.okx.com'. (_ssl.c:1081)"")))",BTC-USDT-SWAP,,,,,,0.0,NEUTRAL,0.015582719739340212,0.18374924059289222,True,0.5838315001890636,NEUTRAL,0.14542849444477127,0.5535596781306376,1.1,VOID,-0.12984577470543104,0.030271822058426046,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.1932,68.75,16,,0,THIN_SESSION,3.24,NEUTRAL,Belum ada arah BUY/SELL matang.,13.052357500945318
BTCCNHm,crypto,M15,DYNAMIC_SL_TP,6.94,437266.6,437266.6,437574.1,437420.35,NEUTRAL,NEUTRAL,NEUTRAL,0.0557,0.2396,51.9285714285712,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.45,0.0,0.5,0.0,437266.6,MARKET_REFERENCE,14900.9,14901.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,3075.0,2690.62,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.2946,False,438679.3,440585.7,442492.0,True,"ERROR: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/market/ticker?instId=BTC-USDT-SWAP (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.okx.com'. (_ssl.c:1081)"")))",BTC-USDT-SWAP,,,,,,0.0,NEUTRAL,0.01162783845623067,-0.0588538055845845,True,0.5855230538966627,NEUTRAL,0.14855542730130722,0.5536837082197553,1.1,VOID,-0.13692758884507655,0.03183934567690738,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.1491,71.43,16,,0,THIN_SESSION,2.63,NEUTRAL,Belum ada arah BUY/SELL matang.,12.172515269483313
AUDJPYm,forex,M15,DYNAMIC_SL_TP,2.83,112.955,112.955,112.974,112.9645,NEUTRAL,NEUTRAL,NEUTRAL,0.8124,0.7081,-0.003600000000009737,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,112.955,MARKET_REFERENCE,16.1,161.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.9000000000005457,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.965000000000191,STRESSED,False,1.0650000000001911,0.5538,False,112.803,112.907,113.012,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.03953923801621343,0.8454169398738893,True,0.696252459332935,NEUTRAL,0.0427041131552637,0.6906828667567255,1.0650000000001911,STRESSED,-0.003164875139050269,0.005569592576209481,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1447,63.16,21,,0,THIN_SESSION,29.29,NEUTRAL,Belum ada arah BUY/SELL matang.,38.799562296664675
EURCADm,forex,M15,DYNAMIC_SL_TP,6.71,1.62428,1.62428,1.62443,1.624355,NEUTRAL,NEUTRAL,NEUTRAL,1.0208,0.8319,2.9142857142765212e-05,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.62428,MARKET_REFERENCE,13.5,135.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.6288,False,1.62256,1.62338,1.62421,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.01594818788414304,0.5582689552160867,True,0.6991071734061107,NEUTRAL,0.016086026925700624,0.701007543045533,0.9249999999995534,STRESSED,-0.00013783904155758447,-0.0019003696394223057,7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1091,56.25,17,,0,THIN_SESSION,34.1,NEUTRAL,Belum ada arah BUY/SELL matang.,43.956135867030554
BTCUSDm,crypto,M15,DYNAMIC_SL_TP,3.76,64658.0,64658.0,64668.0,64663.0,NEUTRAL,NEUTRAL,NEUTRAL,0.1459,0.3016,14.40428571428289,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.45,0.0,0.5,0.0,64658.0,MARKET_REFERENCE,22290.6,22291.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1000.0,875.0,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.3166,False,64824.76,65125.57,65426.38,True,"ERROR: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/market/ticker?instId=BTC-USDT-SWAP (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.okx.com'. (_ssl.c:1081)"")))",BTC-USDT-SWAP,,,,,,0.0,NEUTRAL,0.033007350482495444,0.468823851209349,True,0.577977483519074,NEUTRAL,0.13230284645119694,0.5573160595862273,1.1,VOID,-0.09929549596870149,0.020661423932846645,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.089,69.05,42,,0,THIN_SESSION,2.79,NEUTRAL,Belum ada arah BUY/SELL matang.,12.99478741759537
USDCADm,forex,M15,DYNAMIC_SL_TP,7.31,1.4104,1.4104,1.4105400000000001,1.4104700000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.8334,0.7231,0.00017228571428568254,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.45,0.0,0.5,0.0,1.4104,MARKET_REFERENCE,10.2,102.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.4000000000002897,1.23,0.0,0.0,0.0,0.0,False,,0.0,0.7900000000001013,STRESSED,False,0.8900000000001013,0.8576,False,1.40436,1.40585,1.40735,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.007281550814429353,-0.2493401275134525,True,0.7160006872012677,NEUTRAL,0.02078093893425294,0.6907369189743001,0.8900000000001013,STRESSED,-0.013499388119823588,0.02526376822696763,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0832,63.64,24,,0,THIN_SESSION,33.07,NEUTRAL,Belum ada arah BUY/SELL matang.,40.859703436006335
