Symbol,Asset_Class,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Historical_Optimizer_ZF_Floor,Kelly_Full,Kelly_Risk_Multiplier,Dynamic_Lot,Entry_Price,Entry_Model,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Fibo_Position,Fibo_Aligned,Fibo_382,Fibo_500,Fibo_618,Metal_Gate_Ok,OKX_Status,OKX_Instrument,OKX_Last,OKX_Funding_Rate,OKX_Open_Interest,OKX_Open_Interest_USD,OKX_OI_Change_Pct,OKX_External_Stress,OKX_Funding_Bias,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
GBPCADm,forex,M15,DYNAMIC_SL_TP,4.54,1.87738,1.87738,1.87756,1.87747,NEUTRAL,NEUTRAL,NEUTRAL,0.6874,0.6444,0.00029542857142851044,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.87738,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7999999999984695,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999994644,STRESSED,False,1.0299999999994645,0.6704,False,1.87482,1.87587,1.87692,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.005261069037730281,0.3021665228122504,True,0.7493856285707804,NEUTRAL,0.00559389275782103,0.7485350078247248,1.0300000000002416,STRESSED,-0.0003328237200907495,0.0008506207460555748,-7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.633,81.25,17,,0,THIN_SESSION,36.07,NEUTRAL,Belum ada arah BUY/SELL matang.,46.1478281428539
CADCHFm,forex,M15,DYNAMIC_SL_TP,7.28,0.56628,0.56628,0.56636,0.5663199999999999,BUY,NEUTRAL,STRICT,1.0881,0.8635,-5.142857142858294e-05,TREND,83,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.84,0.56628,ZF_FIBO_BUY_LIMIT,8.9,89.0,0.56539,DATA_DRIVEN,11.1,111.0,0.56739,DATA_DRIVEN,1.25,0.7999999999996897,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999998914,LAMINAR,False,0.6799999999998914,0.466,True,0.56603,0.56638,0.56673,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.005091701315934307,-0.2709115936836307,True,0.6767114254408624,BUY,0.007298570420175967,0.671871157440395,0.6799999999998914,LAMINAR,-0.0022068691042416598,0.004840268000467329,0.0,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,LAMINAR,Setup BUY valid. Entry manual boleh dipertimbangkan dengan SL/TP yang tampil. Akurasi historis resolved sekitar 81.25%.,TRADEABLE,0.3989,81.25,17,,0,THIN_SESSION,75.37,PASS,,86.87785712720431
GBPNZDm,forex,M15,DYNAMIC_SL_TP,3.43,2.29931,2.29931,2.29955,2.29943,BUY,BUY,STRICT,1.1126,0.8905,-0.0006708571428570943,RANGE,73,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.55,0.0,0.5,0.0,2.29931,ZF_FIBO_BUY_LIMIT,18.3,183.0,2.29748,DATA_DRIVEN,23.1,231.0,2.30162,DATA_DRIVEN,1.26,2.399999999997959,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.045,True,2.30238,2.30346,2.30454,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.030460031109680038,-0.5864025407433278,True,0.6974375481654613,BUY,0.028829716942430902,0.7027075611750948,1.1,STRESSED,0.0016303141672491354,-0.0052700130096334785,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.3584,73.33,15,,0,THIN_SESSION,57.63,PASS,,74.85888774082731
USDCHFm,forex,M15,DYNAMIC_SL_TP,7.1,0.79869,0.79869,0.79882,0.798755,NEUTRAL,NEUTRAL,NEUTRAL,0.8568,0.7292,2.1714285714300562e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.79869,MARKET_REFERENCE,9.6,96.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.7355,False,0.79497,0.79622,0.79746,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.02619542580063361,-0.36428142501608407,True,0.6684434660507097,NEUTRAL,0.028542663378217092,0.6661279287899377,0.854999999999872,STRESSED,-0.002347237577583483,0.0023155372607720492,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.2677,65.22,29,,0,THIN_SESSION,37.25,NEUTRAL,Belum ada arah BUY/SELL matang.,44.89771733025354
BTCJPYm,crypto,M15,DYNAMIC_SL_TP,4.88,10372322.0,10372322.0,10374561.0,10373441.5,NEUTRAL,NEUTRAL,NEUTRAL,0.036,0.2336,360.9142857141718,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.55,0.0,0.5,0.0,10372322.0,MARKET_REFERENCE,34842.7,34843.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2239.0,1959.12,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.3025,False,10402547.252,10447421.0,10492294.748,True,"ERROR: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/market/ticker?instId=BTC-USDT-SWAP (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.okx.com'. (_ssl.c:1081)"")))",BTC-USDT-SWAP,,,,,,0.0,NEUTRAL,0.08232248826054117,-0.5520922860075913,True,0.5700573411995358,NEUTRAL,0.0864959820480902,0.5690043280327246,1.1,VOID,-0.004173493787549026,0.0010530131668111675,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.1932,68.75,16,,0,THIN_SESSION,2.33,NEUTRAL,Belum ada arah BUY/SELL matang.,11.753386705997679
BTCCNHm,crypto,M15,DYNAMIC_SL_TP,6.94,436828.0,436828.0,437131.3,436979.65,NEUTRAL,NEUTRAL,NEUTRAL,0.0676,0.2543,-22.302857142832806,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.45,0.0,0.5,0.0,436828.0,MARKET_REFERENCE,14644.7,14645.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,3032.9999999998836,2653.87,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.2674,False,438679.3,440585.7,442492.0,True,"ERROR: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/market/ticker?instId=BTC-USDT-SWAP (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.okx.com'. (_ssl.c:1081)"")))",BTC-USDT-SWAP,,,,,,0.0,NEUTRAL,0.08794030367408429,-0.8158859574992365,True,0.5698920236371026,NEUTRAL,0.09422179264872277,0.5683064388306354,1.1,VOID,-0.006281488974638483,0.0015855848064671996,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.1491,71.43,16,,0,THIN_SESSION,2.75,NEUTRAL,Belum ada arah BUY/SELL matang.,12.350760118185512
AUDJPYm,forex,M15,DYNAMIC_SL_TP,2.83,112.977,112.977,112.996,112.9865,NEUTRAL,NEUTRAL,NEUTRAL,0.7094,0.6599,0.019342857142858556,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,112.977,MARKET_REFERENCE,16.1,161.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.8999999999991246,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.9649999999996937,STRESSED,False,1.0649999999996937,0.5787,False,112.803,112.907,113.012,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.014619690697486063,0.6702549402523303,True,0.733459609853095,NEUTRAL,0.015172736048614636,0.7326113127179766,1.0650000000001911,STRESSED,-0.0005530453511285727,0.0008482971351183588,-4.973799150320701e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1447,63.16,21,,0,THIN_SESSION,27.66,NEUTRAL,Belum ada arah BUY/SELL matang.,36.44109804926548
EURCADm,forex,M15,DYNAMIC_SL_TP,6.71,1.6243400000000001,1.6243400000000001,1.62449,1.624415,NEUTRAL,NEUTRAL,NEUTRAL,0.8108,0.7201,0.0001757142857142258,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.62434,MARKET_REFERENCE,13.5,135.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.4999999999987244,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8249999999995534,STRESSED,False,0.9249999999995534,0.6374,False,1.62256,1.62338,1.62421,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.0019497888772226479,0.3820330071699055,True,0.7456716883782396,NEUTRAL,0.003488504635131051,0.7411775656559002,0.9250000000003306,STRESSED,-0.001538715757908403,0.0044941227223394,-7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1091,56.25,17,,0,THIN_SESSION,30.97,NEUTRAL,Belum ada arah BUY/SELL matang.,39.10745844189119
BTCUSDm,crypto,M15,DYNAMIC_SL_TP,3.76,64566.71,64566.71,64576.71,64571.71,NEUTRAL,NEUTRAL,NEUTRAL,0.0045,0.2252,6.421142857138448,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.45,0.0,0.5,0.0,64566.71,MARKET_REFERENCE,21872.0,21872.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1000.0,875.0,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.2808,False,64824.76,65125.57,65426.38,True,"ERROR: HTTPSConnectionPool(host='www.okx.com', port=443): Max retries exceeded with url: /api/v5/market/ticker?instId=BTC-USDT-SWAP (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.okx.com'. (_ssl.c:1081)"")))",BTC-USDT-SWAP,,,,,,0.0,NEUTRAL,0.07094858508483823,-0.5256637686354348,True,0.5723487594133463,NEUTRAL,0.07354147653702717,0.5717556103096032,1.1,VOID,-0.002592891452188939,0.0005931491037430847,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.089,69.05,42,,0,THIN_SESSION,0.21,NEUTRAL,Belum ada arah BUY/SELL matang.,9.28524379706673
USDCADm,forex,M15,DYNAMIC_SL_TP,7.31,1.41037,1.41037,1.41051,1.41044,NEUTRAL,NEUTRAL,NEUTRAL,0.5587,0.5483,0.00016399999999989673,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.45,0.0,0.5,0.0,1.41037,MARKET_REFERENCE,10.2,102.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.4000000000002897,1.23,0.0,0.0,0.0,0.0,False,,0.0,0.7900000000001013,STRESSED,False,0.8900000000001013,0.8561,False,1.40431,1.40582,1.40732,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.01974127028895238,-0.034146114225404214,True,0.691980023342378,NEUTRAL,0.018855118302388826,0.6935641283245064,0.8900000000001013,STRESSED,0.0008861519865635548,-0.0015841049821284647,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0832,63.64,24,,0,THIN_SESSION,27.98,NEUTRAL,Belum ada arah BUY/SELL matang.,33.544900116711894
