Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.21405,1.21405,1.21414,1.214095,NEUTRAL,NEUTRAL,NEUTRAL,0.2014,0.328,9.085714285709085e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.21405,10.9,109.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.0072369346241769475,0.1285147859927651,True,0.6859391965088865,NEUTRAL,0.04867886217172692,0.5601516422133157,0.6450000000000506,LAMINAR,-0.041441927547549974,0.12578755429557076,0.06999999999968154,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0447,41.37,750,,0,THIN_SESSION,19.27,NEUTRAL,Belum ada arah BUY/SELL matang.,20.20259598254443
AUDUSD.m,0.70617,0.70617,0.70622,0.7061949999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.0396,0.1929,-0.00019000000000003018,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.70617,5.8,58.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.04760342576188512,-0.017498962248905115,True,0.5595687070161083,NEUTRAL,0.006973361170823074,0.6754254560516149,0.5749999999999807,LAMINAR,0.04063006459106205,-0.11585674903550658,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0318,41.72,826,,0,THIN_SESSION,19.22,NEUTRAL,Belum ada arah BUY/SELL matang.,17.08564353508054
AUDJPY.m,113.101,113.101,113.111,113.106,NEUTRAL,NEUTRAL,NEUTRAL,0.4708,0.4732,-0.04534285714286101,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,113.101,9.2,92.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.0000000000005116,0.88,0.0,0.0,0.0,0.0,False,,0.0,0.6500000000001791,LAMINAR,False,0.7500000000001791,0.059841515980360346,-0.186876419391972,False,0.6176144474037729,NEUTRAL,0.038191788908145084,0.6009516988569038,0.7500000000001791,LAMINAR,0.021649727072215262,0.01666274854686911,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1164,49.71,840,,0,THIN_SESSION,27.04,NEUTRAL,Belum ada arah BUY/SELL matang.,30.400872237018866
CHFJPY.m,201.485,201.485,201.504,201.49450000000002,NEUTRAL,BUY,NEUTRAL,0.6657,0.5988,-0.04202857142857172,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,201.485,12.8,128.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.8999999999977035,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.9649999999991963,STRESSED,False,1.0649999999991964,0.026750063995356836,-0.5163409302955263,False,0.6497228671779327,NEUTRAL,0.021134369092210233,0.6728916864943887,1.1,STRESSED,0.005615694903146604,-0.02316881931645598,-0.03500000000080372,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1405,36.11,838,,0,THIN_SESSION,16.51,NEUTRAL,Belum ada arah BUY/SELL matang.,24.745114335889667
EURAUD.m,1.64087,1.64087,1.64094,1.640905,NEUTRAL,NEUTRAL,NEUTRAL,0.004,0.1799,0.0003662857142858178,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,1.64087,11.2,112.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.03455199996557489,0.0012015898066640614,True,0.5832833361723035,NEUTRAL,0.016556203077329683,0.6416165912309633,0.7150000000005093,LAMINAR,0.017995796888245208,-0.058333255058659716,-0.0700000000004587,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1,THIN_SESSION,13.97,NEUTRAL,Belum ada arah BUY/SELL matang.,14.63111668086152
EURCAD.m,1.62167,1.62167,1.62174,1.621705,NEUTRAL,NEUTRAL,NEUTRAL,0.046,0.2306,-2.8285714285812797e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.62167,7.7,77.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.00999356160226016,0.012928452520127046,True,0.67187952576907,NEUTRAL,0.0055864366393156605,0.7049394532560531,0.68000000000028,LAMINAR,0.004407124962944499,-0.033059927486983165,-0.0350000000002294,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1581,34.83,757,,0,THIN_SESSION,15.01,NEUTRAL,Belum ada arah BUY/SELL matang.,13.872497628845352
EURCHF.m,0.92108,0.92108,0.92113,0.9211050000000001,SELL,SELL,PROJECTED,0.9046,0.7471,3.0857142857132936e-05,RANGE,66,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.92108,5.5,55.0,0.92163,DATA_DRIVEN,6.9,69.0,0.92039,DATA_DRIVEN,1.25,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.0016259175173885883,0.13453242181528574,True,0.6792666162157042,SELL,0.0003113589383370296,0.6890381299500579,0.5749999999999807,LAMINAR,0.0013145585790515588,-0.009771513734353698,0.0,False,False,LAMINAR,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,LAMINAR,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.0096,43.14,801,,0,THIN_SESSION,54.26,WATCH,quality 54.3 < 62 | status historis AVOID | winrate historis 43.14% < 45.00% | expectancy historis -0.0096R < 0.0200R | sesi market tipis untuk sinyal proyeksi,62.96733308107852
EURGBP.m,0.86432,0.86432,0.86436,0.86434,NEUTRAL,NEUTRAL,NEUTRAL,0.6483,0.5786,5.971428571429344e-05,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,0.86432,5.0,50.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.40000000000040004,0.35,0.0,0.0,0.0,0.0,False,,0.0,0.44000000000014,LAMINAR,False,0.54000000000014,0.006524208904156874,-0.11129977146263739,True,0.6313457549344927,NEUTRAL,0.000677192349069164,0.6704481064351269,0.6100000000002099,LAMINAR,0.005847016555087709,-0.039102351500634125,-0.0700000000000699,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0426,46.09,818,0.125,2,THIN_SESSION,34.99,NEUTRAL,Belum ada arah BUY/SELL matang.,36.802028774672465
EURJPY.m,185.592,185.592,185.599,185.59550000000002,NEUTRAL,BUY,NEUTRAL,0.6006,0.5416,-0.033342857142856466,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,185.592,13.7,137.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.699999999997658,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5449999999991803,LAMINAR,False,0.6449999999991802,0.022189752334478126,-0.19901135995175728,False,0.5949488699351471,NEUTRAL,0.02239153695800183,0.592805068269995,0.645000000000175,LAMINAR,-0.00020178462352370488,0.0021438016651520453,-9.947598300641403e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0078,43.87,772,,0,THIN_SESSION,28.93,NEUTRAL,Belum ada arah BUY/SELL matang.,32.06784434967574
EURUSD.m,1.1588,1.1588,1.15881,1.158805,NEUTRAL,NEUTRAL,NEUTRAL,0.0341,0.2176,-5.6571428571381804e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.1588,6.4,64.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.09999999999843466,0.09,0.0,0.0,0.0,0.0,False,,0.0,0.3349999999994521,LAMINAR,False,0.43499999999945216,0.009116646642403116,-0.037573447994886995,True,0.6559417381324382,NEUTRAL,0.015870969181884836,0.3101136460727356,0.46999999999968145,LAMINAR,-0.00675432253948172,0.34582809205970255,-0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0451,41.05,802,,0,THIN_SESSION,22.71,NEUTRAL,Belum ada arah BUY/SELL matang.,19.239008690662192
