Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.21096,1.21096,1.21105,1.211005,NEUTRAL,NEUTRAL,NEUTRAL,0.403,0.4569,0.00017657142857142096,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,7.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.004716615758953332,0.1946671231317826,False,0.716915271263163,NEUTRAL,0.0013867150486951893,0.7202646220770832,0.6449999999992735,LAMINAR,0.0033299007102581425,-0.003349350813920182,0.0700000000004587,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0447,41.37,750,,0,LONDON_NY_OVERLAP,23.08,NEUTRAL,Belum ada arah BUY/SELL matang.,25.678576356315816
AUDUSD.m,0.70746,0.70746,0.7075,0.70748,NEUTRAL,NEUTRAL,NEUTRAL,0.8935,0.7246,0.00011085714285712652,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,6.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.40000000000040004,0.35,0.0,0.0,0.0,0.0,False,,0.0,0.44000000000014,LAMINAR,False,0.54000000000014,0.023200396537130866,-0.3601779008455513,False,0.6069279092198077,NEUTRAL,0.021099445318951717,0.610646602388023,0.54000000000014,LAMINAR,0.0021009512181791486,-0.003718693168215381,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0318,41.72,826,,0,LONDON_NY_OVERLAP,35.72,NEUTRAL,Belum ada arah BUY/SELL matang.,40.05983954609904
AUDJPY.m,113.223,113.223,113.231,113.227,BUY,BUY,PROJECTED,0.7848,0.6815,0.00014285714285399172,RANGE,60,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,9.3,DATA_DRIVEN,11.7,DATA_DRIVEN,1.26,0.7999999999995566,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999998449,LAMINAR,False,0.6799999999998448,0.005415808285539652,-0.24639993667879084,False,0.6772159393696711,NEUTRAL,0.008389590961061994,0.7047863719077021,0.8549999999996856,STRESSED,-0.0029737826755223424,-0.027570432538031042,-0.17499999999984073,True,True,RESONANCE_MISMATCH,ACCURACY_LOCK,False,TUNGGU AKURASI,quality 51.5 < 62,ANOMALOUS,Jangan entry dulu. Sinyal ditahan oleh mode akurasi ketat. Alasan: quality 51.5 < 62.,TRADEABLE,0.1164,49.71,840,,0,LONDON_NY_OVERLAP,51.55,LOCKED,quality 51.5 < 62,60.00337969684835
CHFJPY.m,201.932,201.932,201.951,201.9415,NEUTRAL,NEUTRAL,NEUTRAL,0.3566,0.4351,0.0005714285714209784,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,16.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.9000000000005457,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.965000000000191,STRESSED,False,1.0650000000001911,0.025231335971650386,-0.06581127627457659,True,0.683733325156353,NEUTRAL,0.008651514304148138,0.7296098731415783,1.1,STRESSED,0.01657982166750225,-0.045876547985225336,-0.03499999999980896,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1405,36.11,838,,0,LONDON_NY_OVERLAP,11.15,NEUTRAL,Belum ada arah BUY/SELL matang.,17.021566625781766
EURAUD.m,1.64139,1.64139,1.64147,1.64143,NEUTRAL,NEUTRAL,NEUTRAL,0.5325,0.4923,-0.00023257142857138034,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,10.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.03675788597077194,0.20254053865911348,True,0.5683674771538568,NEUTRAL,0.007721524592351299,0.6452209590717346,0.5749999999995922,LAMINAR,0.02903636137842064,-0.07685348191787778,0.10500000000068788,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1,LONDON_NY_OVERLAP,22.54,NEUTRAL,Belum ada arah BUY/SELL matang.,27.726037385769285
EURCAD.m,1.62388,1.62388,1.62398,1.62393,NEUTRAL,NEUTRAL,NEUTRAL,0.1978,0.3305,0.0002511428571427792,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,9.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9999999999998899,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999999615,LAMINAR,False,0.7499999999999615,0.004855852818582083,0.024024925510736858,True,0.7006133709573823,NEUTRAL,0.01020920380411948,0.6607439310198204,0.6450000000000506,LAMINAR,-0.005353350985537396,0.03986943993756187,0.10499999999991083,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1581,34.83,757,,0,LONDON_NY_OVERLAP,15.41,NEUTRAL,Belum ada arah BUY/SELL matang.,16.66496685478691
EURCHF.m,0.9203,0.9203,0.92037,0.920335,NEUTRAL,NEUTRAL,NEUTRAL,0.2433,0.3265,-0.0001354285714286044,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,6.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.01872790040157596,0.0011808692196447305,True,0.5985686092887101,NEUTRAL,0.009624881406277725,0.643288478627686,0.5749999999999807,LAMINAR,0.009103018995298234,-0.04471986933897587,0.0700000000000699,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0096,43.14,801,,0,LONDON_NY_OVERLAP,22.1,NEUTRAL,Belum ada arah BUY/SELL matang.,22.415043046443554
EURGBP.m,0.8644,0.8644,0.86445,0.864425,NEUTRAL,NEUTRAL,NEUTRAL,0.0576,0.2058,-0.00011342857142856999,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,5.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5000000000010552,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4750000000003693,LAMINAR,False,0.5750000000003693,0.034759869338351894,0.06286272649606461,True,0.5631528385114565,NEUTRAL,0.021913404130375007,0.5899828365287172,0.6100000000002099,LAMINAR,0.012846465207976887,-0.026829998017260714,-0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0461,46.3,813,0.125,2,LONDON_NY_OVERLAP,23.19,NEUTRAL,Belum ada arah BUY/SELL matang.,20.564664192557284
EURJPY.m,185.852,185.852,185.859,185.8555,NEUTRAL,NEUTRAL,NEUTRAL,0.423,0.4342,-0.026028571428571606,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,12.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000005002,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.545000000000175,LAMINAR,False,0.645000000000175,0.04117029602567249,-0.04037110277934293,True,0.5772086348000596,NEUTRAL,0.014103626550044195,0.6365207466000744,0.610000000000008,LAMINAR,0.027066669475628292,-0.05931211180001483,0.03500000000016701,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0078,43.87,772,,0,LONDON_NY_OVERLAP,25.62,NEUTRAL,Belum ada arah BUY/SELL matang.,27.317043174000297
EURUSD.m,1.16127,1.16127,1.1613,1.161285,BUY,BUY,PROJECTED,0.9583,0.7658,1.5428571428589317e-05,RANGE,68,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,9.6,DATA_DRIVEN,12.2,DATA_DRIVEN,1.27,0.29999999999974486,0.26,0.0,0.0,0.0,0.0,False,,0.0,0.40499999999991065,LAMINAR,False,0.5049999999999106,0.013195043494297815,-0.18307638306593582,True,0.616377633736507,NEUTRAL,0.013424171048524305,0.6018556665542671,0.4350000000002293,LAMINAR,-0.0002291275542264902,0.014521967182239859,0.06999999999968132,True,False,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.0451,41.05,802,,0,LONDON_NY_OVERLAP,56.15,WATCH,quality 56.1 < 62 | status historis AVOID | winrate historis 41.05% < 45.00% | expectancy historis -0.0451R < 0.0200R,64.46038816868254
