Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals
AUDNZD.m,1.20909,1.20909,1.20918,1.2091349999999998,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.004898313781227717,0.26483795562747636,True,0.7100467585293473,NEUTRAL,0.008102126863536232,0.40041259217284303,0.7149999999997322,LAMINAR,-0.003203813082308515,0.30963416635650426,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDUSD.m,0.70717,0.70717,0.70722,0.707195,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,15.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.09126314948978392,0.22962264533778334,True,0.5453184713948083,NEUTRAL,0.11660299347599666,0.24538475688772174,0.5749999999999807,LAMINAR,-0.025339843986212737,0.2999337145070865,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDJPY.m,113.257,113.257,113.268,113.2625,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,16.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.099999999999568,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6849999999998488,LAMINAR,False,0.7849999999998488,0.00656048586830606,0.5037685732427306,True,0.6907586598720419,NEUTRAL,0.022681207536341157,0.30440560932405314,0.715000000000012,LAMINAR,-0.016120721668035097,0.38635305054798874,0.06999999999983686,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,TRADEABLE,0.112,49.49,839,,0
CHFJPY.m,201.572,201.572,201.591,201.5815,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,22.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.9000000000005457,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.965000000000191,STRESSED,False,1.0650000000001911,0.0016665396725092515,0.7135951243489015,True,0.7413887115016626,NEUTRAL,0.014850280873560261,0.3483926191483927,0.9949999999998568,STRESSED,-0.01318374120105101,0.39299609235326993,0.07000000000033435,False,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,UNVALIDATED,,,0,,0
EURAUD.m,1.64002,1.64002,1.64009,1.640055,NEUTRAL,RANGE,0,LEARNING,60,3.0,2.0,0.0,20.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.01603508040717302,-0.06671193781691778,True,0.641727740951296,NEUTRAL,0.03972666940496267,0.28161936213258426,0.7150000000005093,LAMINAR,-0.023691588997789646,0.36010837881871177,-0.0700000000004587,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,TRADEABLE,0.0365,45.45,818,-1.0,1
EURCAD.m,1.62039,1.62039,1.6204399999999999,1.620415,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,12.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.4999999999988347,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.47499999999959214,LAMINAR,False,0.5749999999995922,0.03331760983754566,0.007491447548101833,True,0.5857836108277723,NEUTRAL,0.0351092200966262,0.26644620363916205,0.68000000000028,LAMINAR,-0.0017916102590805338,0.31933740718861026,-0.10500000000068788,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURCHF.m,0.92147,0.92147,0.92152,0.921495,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,6.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.012121332903461915,-0.07949652436511796,True,0.6146932117547621,NEUTRAL,0.003492362432304713,0.3991435357894026,0.5749999999999807,LAMINAR,0.008628970471157201,0.2155496759653595,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURGBP.m,0.86281,0.86281,0.86286,0.862835,NEUTRAL,RANGE,0,LEARNING,60,3.0,2.0,0.0,6.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.005642765324671595,-0.0818421771131276,False,0.6518208952468898,NEUTRAL,0.014366384684051934,0.4192717257361156,0.5399999999997513,LAMINAR,-0.00872361935938034,0.2325491695107742,0.0350000000002294,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.046,46.3,813,1.25,1
EURJPY.m,185.751,185.751,185.762,185.75650000000002,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,16.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.099999999999568,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6849999999998488,LAMINAR,False,0.7849999999998488,0.008019703485963701,0.378847631695924,False,0.6811093928908769,NEUTRAL,0.012352523019439489,0.3186961145027173,0.645000000000175,LAMINAR,-0.004332819533475788,0.3624132783881596,0.13999999999967383,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,UNVALIDATED,,,0,,0
EURUSD.m,1.15984,1.15984,1.15985,1.159845,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,14.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.10000000000065512,0.09,0.0,0.0,0.0,0.0,False,,0.0,0.3350000000002293,LAMINAR,False,0.4350000000002293,0.07466486105394543,0.10137734217407755,False,0.5453624321285286,NEUTRAL,0.08174292049861709,0.24098627905838346,0.46999999999968145,LAMINAR,-0.007078059444671658,0.3043761530701452,-0.034999999999452136,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
