Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase
AUDNZD.m,1.20823,1.20823,1.20831,1.20827,NEUTRAL,RANGE,0,0.0,30.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.003481254892050219,-0.14614301460011628,True,0.7136268144690423,NEUTRAL,0.006708369020661152,0.9999999998214067,0.7150000000005093,LAMINAR,-0.003227114128610933,-0.28637318535236445,-0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
AUDUSD.m,0.7041,0.7041,0.70415,0.704125,NEUTRAL,RANGE,0,0.0,30.0,0.5000000000010552,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4750000000003693,LAMINAR,False,0.5750000000003693,0.09347213859219139,-0.13367294182928013,False,0.5685755749789876,NEUTRAL,0.0854817905976746,0.9766691680011792,0.5749999999999807,LAMINAR,0.007990347994516783,-0.4080935930221916,3.885780586188048e-13,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR
AUDJPY.m,112.759,112.759,112.768,112.7635,NEUTRAL,RANGE,0,0.0,30.0,0.9000000000000341,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.615000000000012,LAMINAR,False,0.715000000000012,0.02981302397382622,-0.07445782216308042,False,0.6459100681305325,NEUTRAL,0.027041922364854032,0.9999812330665552,0.715000000000012,LAMINAR,0.0027711016089721867,-0.35407116493602264,0.0,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR
CHFJPY.m,201.285,201.285,201.3,201.29250000000002,NEUTRAL,RANGE,0,0.0,30.0,1.500000000001478,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000005173,STRESSED,False,0.9250000000005173,0.003377460074936437,0.3150502152042087,True,0.7458297290626552,NEUTRAL,0.006481741425699558,0.9999999864217369,0.9250000000005173,STRESSED,-0.003104281350763121,-0.2541702573590817,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED
EURAUD.m,1.64446,1.64446,1.64453,1.644495,SELL,RANGE,83,0.5,30.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.029860994553551082,0.3861459770058275,False,0.6264951448141249,SELL,0.0372622265419228,0.9990027739819124,0.7149999999997322,LAMINAR,-0.007401231988371719,-0.37250762916778746,-0.06999999999968154,False,False,RESONANCE_MISMATCH,NORMAL,True,EKSEKUSI,,ANOMALOUS
EURCAD.m,1.61902,1.61902,1.6190799999999999,1.6190499999999999,NEUTRAL,RANGE,0,0.0,30.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.055635373587839716,0.20804465430033017,True,0.5946154759975378,NEUTRAL,0.04155170745621456,0.20041725856829976,0.6799999999995028,LAMINAR,0.014083666131625157,0.3941982174292381,-0.06999999999968143,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR
EURCHF.m,0.92122,0.92122,0.92127,0.9212450000000001,NEUTRAL,TREND,0,0.0,30.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.0023214723038847127,0.07899107530629136,True,0.6804423830802702,NEUTRAL,0.01385298606819518,0.9999922880665855,0.5749999999999807,LAMINAR,-0.011531513764310468,-0.3195499049863153,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURGBP.m,0.86319,0.86319,0.86325,0.86322,NEUTRAL,RANGE,0,0.0,30.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.0007589945292752383,0.1477255214043463,False,0.6920244073262196,NEUTRAL,0.0023805301156518592,0.9999999543286616,0.5749999999999807,LAMINAR,-0.001621535586376621,-0.307975547002442,0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURJPY.m,185.435,185.435,185.444,185.4395,NEUTRAL,RANGE,0,0.0,30.0,0.899999999998613,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999995146,LAMINAR,False,0.7149999999995146,0.0012637602705555032,0.351914018910306,False,0.7222302564030268,NEUTRAL,0.00817180317595776,0.99999997705233,0.7149999999995146,LAMINAR,-0.006908042905402257,-0.27776972064930316,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURUSD.m,1.15793,1.15793,1.15794,1.157935,NEUTRAL,RANGE,0,0.0,30.0,0.10000000000065512,0.09,0.0,0.0,0.0,0.0,False,,0.0,0.3350000000002293,LAMINAR,False,0.4350000000002293,0.06572752217060059,0.15924230349091772,True,0.5494600430878032,NEUTRAL,0.050482969278575894,0.997238589391605,0.46999999999968145,LAMINAR,0.015244552892024692,-0.44777854630380187,-0.034999999999452136,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR
