Symbol,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
UKOILm,H4,ZF_DYNAMIC_SL_TP,39.95,82.399,82.399,82.431,82.41499999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.4746,0.5933,-0.028085714285715307,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,82.399,162.6,1626.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,3.1999999999996476,2.8,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,1.0146045691275274,-14.940122809732822,True,0.6953020363030927,NEUTRAL,0.869740283467107,0.6135571173277066,1.1,VOID,0.14486428566042042,0.08174491897538616,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.9458,94.58,166,,0,THIN_SESSION,22.83,NEUTRAL,Belum ada arah BUY/SELL matang.,38.75941018151547
USOILm,H4,ZF_DYNAMIC_SL_TP,52.04,79.412,79.412,79.432,79.422,NEUTRAL,NEUTRAL,NEUTRAL,0.1308,0.3887,0.07231428571428822,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,79.412,168.2,1682.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.999999999999602,1.75,0.0,0.0,0.0,0.0,False,,0.0,0.9999999999998608,STRESSED,False,1.0999999999998609,1.124165640237724,-9.895970784093358,True,0.700530407786101,NEUTRAL,1.1360103266395487,0.6887372694882441,1.0999999999998609,STRESSED,-0.011844686401824678,0.011793138297856887,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9255,92.55,188,,0,THIN_SESSION,26.32,NEUTRAL,Belum ada arah BUY/SELL matang.,34.8794520389305
USDJPYm,H4,ZF_DYNAMIC_SL_TP,81.62,160.201,160.201,160.211,160.20600000000002,NEUTRAL,NEUTRAL,NEUTRAL,0.026,0.2272,-0.0007142857142864331,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,160.201,25.8,258.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.0000000000019327,0.88,0.0,0.0,0.0,0.0,False,,0.0,0.6500000000006765,LAMINAR,False,0.7500000000006765,0.0017283670101974954,0.07101353594036537,False,0.682152052733193,NEUTRAL,0.014435334849864163,0.2556321293502054,0.7500000000006765,LAMINAR,-0.012706967839666667,0.4265199233829876,0.0,False,False,WATCH,NORMAL,False,WASPADA,,LAMINAR,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",TRADEABLE,0.9051,90.51,158,,0,THIN_SESSION,32.26,NEUTRAL,Belum ada arah BUY/SELL matang.,36.05136026366597
GBPJPYm,H4,ZF_DYNAMIC_SL_TP,97.13,214.709,214.709,214.736,214.7225,NEUTRAL,NEUTRAL,NEUTRAL,0.0052,0.2414,-0.07394285714287009,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,214.709,38.9,389.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.6999999999986812,2.36,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.1043696886795794,0.07921398465252542,True,0.6769695374884304,NEUTRAL,0.11719167543702114,0.31680381544206004,1.1,STRESSED,-0.012821986757441742,0.3601657220463703,0.0,False,False,RESONANCE_MISMATCH,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,ANOMALOUS,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.8932,89.32,206,,0,THIN_SESSION,17.42,NEUTRAL,Belum ada arah BUY/SELL matang.,27.340247687442158
EURNZDm,H4,ZF_DYNAMIC_SL_TP,85.31,1.9938799999999999,1.9938799999999999,1.9941,1.99399,NEUTRAL,NEUTRAL,NEUTRAL,0.1429,0.3231,0.001383142857143026,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.99388,46.6,466.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.2000000000010895,1.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.1565694435675576,1.387220372921376,True,0.6590759856874074,NEUTRAL,0.21464924788449852,0.4090950007802694,1.1,STRESSED,-0.05807980431694093,0.24998098490713805,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8782,87.82,238,,0,THIN_SESSION,23.64,NEUTRAL,Belum ada arah BUY/SELL matang.,32.63497992843704
EURAUDm,H4,ZF_DYNAMIC_SL_TP,142.4,1.64073,1.64073,1.6409,1.640815,NEUTRAL,NEUTRAL,NEUTRAL,0.5835,0.5473,0.00010485714285706685,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.64073,36.6,366.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7000000000000348,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000000122,STRESSED,False,0.9950000000000122,0.09310638106359723,-0.6055357768317411,True,0.6475419323315238,NEUTRAL,0.09848633248204207,0.38105888894364526,0.9950000000000122,STRESSED,-0.005379951418444842,0.26648304338787854,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8395,83.95,162,,0,THIN_SESSION,34.93,NEUTRAL,Belum ada arah BUY/SELL matang.,45.21720966165762
CADJPYm,H4,ZF_DYNAMIC_SL_TP,144.14,114.437,114.437,114.454,114.4455,NEUTRAL,NEUTRAL,NEUTRAL,0.0153,0.2272,-0.029714285714288306,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,114.437,21.2,212.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.6999999999995907,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8949999999998568,STRESSED,False,0.9949999999998568,0.045606175133681995,-0.3405680155490534,False,0.7007049293517731,NEUTRAL,0.04486683653156142,0.2944261693184718,0.9950000000003542,STRESSED,0.0007393386021205747,0.40627876003330127,-4.973799150320701e-13,False,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",TRADEABLE,0.8125,81.25,176,,0,THIN_SESSION,24.48,NEUTRAL,Belum ada arah BUY/SELL matang.,30.21232464675887
GBPCADm,H4,ZF_DYNAMIC_SL_TP,148.67,1.8761100000000002,1.8761100000000002,1.87629,1.8762,NEUTRAL,NEUTRAL,NEUTRAL,0.0213,0.2521,-0.0001614285714284982,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.87611,31.4,314.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7999999999984695,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999994644,STRESSED,False,1.0299999999994645,0.062210160901049735,0.44275480702181663,True,0.7159596250770212,NEUTRAL,0.07452132706486957,0.4315718995446234,1.0299999999994645,STRESSED,-0.012311166163819831,0.2843877255323978,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8053,80.53,190,,0,THIN_SESSION,23.74,NEUTRAL,Belum ada arah BUY/SELL matang.,29.862398125385106
GBPNZDm,H4,ZF_DYNAMIC_SL_TP,110.51,2.3064999999999998,2.3064999999999998,2.30674,2.3066199999999997,NEUTRAL,NEUTRAL,NEUTRAL,0.0179,0.2429,0.0016325714285712824,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,2.3065,52.0,520.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.4000000000023998,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.1497981087200701,0.9336228413452031,True,0.6516675850434237,NEUTRAL,0.19475912545195817,0.42416731348307063,1.1,STRESSED,-0.04496101673188807,0.22750027156035307,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.7921,79.21,202,,0,THIN_SESSION,17.97,NEUTRAL,Belum ada arah BUY/SELL matang.,26.10183792521712
GBPCHFm,H4,ZF_DYNAMIC_SL_TP,169.13,1.06554,1.06554,1.06569,1.065615,BUY,NEUTRAL,STRICT,1.0314,0.8512,9.39999999999475e-05,RANGE,73,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.83,1.06554,18.1,181.0,1.06373,DATA_DRIVEN,22.8,228.0,1.06782,DATA_DRIVEN,1.26,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.012093097679564681,-0.8538225245888917,True,0.7634316181330881,BUY,0.0008934874925173946,0.6190724394842929,0.9250000000003306,STRESSED,0.011199610187047286,0.14435917864879522,0.0,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,STRESSED,Setup BUY valid. Entry manual boleh dipertimbangkan dengan SL/TP yang tampil. Akurasi historis resolved sekitar 79.13%.,TRADEABLE,0.7913,79.13,206,,0,THIN_SESSION,67.65,PASS,,83.32785809066544
