Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Dynamic_Lot,SL_Pips,SL_Model,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase
GBPAUD.m,1.905,1.905,1.9051200000000001,1.9050600000000002,NEUTRAL,RANGE,0,0.0,18.7,DATA_DRIVEN,1.2000000000011999,1.05,0.0,0.0,0.0,0.0,False,,0.0,0.7200000000004199,LAMINAR,False,0.8200000000004198,0.03252491455679895,0.28829263230991864,False,0.4995209935667382,NEUTRAL,0.03276098083574619,0.6644802267526077,0.9249999999995534,STRESSED,-0.00023606627894724036,-0.16495923318586947,-0.10499999999913356,False,True,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
GBPCHF.m,1.06748,1.06748,1.06755,1.067515,NEUTRAL,RANGE,0,0.0,6.5,DATA_DRIVEN,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.012801282199280978,-0.05619999310607182,False,0.5730085849298027,NEUTRAL,0.004761941662042825,0.7106285443192328,0.6450000000000506,LAMINAR,0.008039340537238152,-0.13761995938943017,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
GBPJPY.m,214.781,214.781,214.802,214.79149999999998,NEUTRAL,RANGE,0,0.0,15.5,DATA_DRIVEN,2.0999999999986585,1.84,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.010492082166335712,0.26660137014439883,False,0.5361630485771738,NEUTRAL,0.0011834395663592012,0.7770368562356165,1.1,STRESSED,0.009308642599976512,-0.24087380765844268,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED
GBPUSD.m,1.3416000000000001,1.3416000000000001,1.34168,1.34164,NEUTRAL,RANGE,0,0.0,14.1,DATA_DRIVEN,0.7999999999985795,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999995028,LAMINAR,False,0.6799999999995028,0.07337473198110112,0.0899589710649242,True,0.36217214688365434,NEUTRAL,0.06265868416488743,0.6041743185637564,0.68000000000028,LAMINAR,0.010716047816213686,-0.24200217168010202,-7.772671395400721e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
NZDUSD.m,0.58274,0.58274,0.5828,0.58277,NEUTRAL,RANGE,0,0.0,9.2,DATA_DRIVEN,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.0973848726548041,-0.012617700042516139,True,0.47748922303659436,NEUTRAL,0.096570095426088,0.5859887723766336,0.5749999999999807,LAMINAR,0.0008147772287160904,-0.10849954934003925,0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
USDCAD.m,1.3982,1.3982,1.39829,1.3982450000000002,NEUTRAL,RANGE,0,0.0,9.3,DATA_DRIVEN,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.012879079518026689,-0.02258984192023839,False,0.6029146355534765,NEUTRAL,0.010197891149841825,0.7014815875805244,0.7149999999997322,LAMINAR,0.002681188368184864,-0.0985669520270479,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
USDCHF.m,0.79565,0.79565,0.79571,0.7956799999999999,NEUTRAL,RANGE,0,0.0,8.3,DATA_DRIVEN,0.6000000000005999,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.51000000000021,LAMINAR,False,0.6100000000002099,0.061260719710041926,-0.1318526434053095,True,0.5095967378370077,NEUTRAL,0.06851555361835492,0.6123601644650847,0.6449999999996621,LAMINAR,-0.0072548339083129895,-0.10276342662807703,-0.034999999999452136,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
USDJPY.m,160.094,160.094,160.099,160.0965,NEUTRAL,RANGE,0,0.0,14.6,DATA_DRIVEN,0.49999999999954525,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999998408,LAMINAR,False,0.5749999999998409,0.08363451091499438,0.06668317851971266,True,0.2582615733780976,NEUTRAL,0.06383174232405794,0.564051990695134,0.610000000000008,LAMINAR,0.019802768590936437,-0.30579041731703643,-0.03500000000016712,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
AUDCAD.m,0.98464,0.98464,0.9847,0.9846699999999999,NEUTRAL,RANGE,0,0.0,11.9,DATA_DRIVEN,0.6000000000005999,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.51000000000021,LAMINAR,False,0.6100000000002099,0.09305036756785467,-0.1536008116680349,False,0.5240410510332851,NEUTRAL,0.08385701638656973,0.5946068246869131,0.6799999999998914,LAMINAR,0.009193351181284948,-0.07056577365362793,-0.06999999999968143,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
AUDCHF.m,0.56033,0.56033,0.56038,0.5603549999999999,NEUTRAL,RANGE,0,0.0,6.1,DATA_DRIVEN,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.04421801114482689,-0.25971378296089637,True,0.5644602201358315,NEUTRAL,0.026370648146843038,0.6268066148213756,0.5750000000003693,LAMINAR,0.01784736299798385,-0.06234639468554404,-3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
EURNZD.m,1.98693,1.98693,1.9870700000000001,1.987,NEUTRAL,RANGE,0,0.0,18.7,DATA_DRIVEN,1.4000000000002897,1.23,0.0,0.0,0.0,0.0,False,,0.0,0.7900000000001013,STRESSED,False,0.8900000000001013,0.03336772034645252,0.3447104717426951,False,0.5657357998750334,NEUTRAL,0.03306594752899649,0.6605265222292633,0.7499999999991843,LAMINAR,0.0003017728174560322,-0.09479072235422992,0.14000000000091695,False,True,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS
GBPCAD.m,1.87582,1.87582,1.87591,1.8758650000000001,NEUTRAL,RANGE,0,0.0,12.6,DATA_DRIVEN,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.061451916065007495,0.07519200975708523,True,0.5008917767812129,NEUTRAL,0.05262844155316393,0.6171231973860685,0.7849999999994134,LAMINAR,0.008823474511843565,-0.11623142060485558,-0.0699999999996812,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
GBPNZD.m,2.30207,2.30207,2.30229,2.30218,NEUTRAL,RANGE,0,0.0,21.6,DATA_DRIVEN,2.2000000000010895,1.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.026667838067325297,0.16514076320587567,False,0.5842816542017266,NEUTRAL,0.035092604228856766,0.7262644260711949,1.0299999999994645,STRESSED,-0.008424766161531469,-0.14198277186946828,0.07000000000053563,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED
NZDCAD.m,0.81477,0.81477,0.81486,0.8148150000000001,NEUTRAL,RANGE,0,0.0,9.5,DATA_DRIVEN,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.08478608436040966,-0.03940441875039432,True,0.5187381030128903,NEUTRAL,0.08745636755914937,0.572199067427039,0.6450000000000506,LAMINAR,-0.0026702831987397146,-0.053460964414148715,0.07000000000007012,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
NZDCHF.m,0.46367,0.46367,0.46373,0.4637,NEUTRAL,RANGE,0,0.0,6.0,DATA_DRIVEN,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.037882970977682714,-0.1542605355513775,True,0.5588274127431652,NEUTRAL,0.03011940866378062,0.6071947488535103,0.5749999999999807,LAMINAR,0.0077635623139020934,-0.04836733611034516,0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
NZDJPY.m,93.294,93.294,93.305,93.2995,NEUTRAL,RANGE,0,0.0,11.4,DATA_DRIVEN,1.100000000000989,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6850000000003462,LAMINAR,False,0.7850000000003462,0.014060303821645997,0.07020725981372794,False,0.5295192131272173,NEUTRAL,0.03313428300077956,0.6514393282237289,0.715000000000012,LAMINAR,-0.01907397917913356,-0.12192011509651157,0.07000000000033424,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR
XAGUSD.m,66.961,66.961,66.99,66.9755,NEUTRAL,RANGE,0,0.0,54.5,DATA_DRIVEN,2.899999999999636,2.54,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.5217255209961151,2.017204345848954,True,0.65611350397573,NEUTRAL,0.615379360492695,0.6690365147354395,1.1,STRESSED,-0.0936538394965799,-0.012923010759709475,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED
XAUUSD.m,4217.75,4217.75,4217.98,4217.865,NEUTRAL,RANGE,0,0.0,2261.6,DATA_DRIVEN,22.999999999956344,20.12,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.4932225913166768,2.7834117900180293,False,0.6752724387318303,NEUTRAL,0.49043337119799857,0.6745027636867463,1.1,VOID,0.002789220118678215,0.0007696750450839618,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS
