Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.20983,1.20983,1.20994,1.2098849999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.2584,0.3727,7.999999999989198e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,8.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.1000000000005448,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6850000000001906,LAMINAR,False,0.7850000000001905,0.011520651504180315,0.14933824220655684,True,0.705585139241811,NEUTRAL,0.014630590765679383,0.6887061793555111,0.7850000000001905,LAMINAR,-0.003109939261499068,0.016878959886299838,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0447,41.37,750,,0,LONDON,18.76,NEUTRAL,Belum ada arah BUY/SELL matang.,20.932325696209055
AUDUSD.m,0.70707,0.70707,0.70712,0.707095,NEUTRAL,NEUTRAL,NEUTRAL,0.1906,0.3091,-4.571428571432048e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,7.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.00890818670896495,-0.08755814751012664,True,0.6452900996507578,NEUTRAL,0.023677709637869627,0.627382451240494,0.5749999999999807,LAMINAR,-0.014769522928904677,0.01790764841026382,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0318,41.72,826,,0,LONDON,22.45,NEUTRAL,Belum ada arah BUY/SELL matang.,21.70675049825379
AUDJPY.m,113.219,113.219,113.229,113.22399999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.2816,0.3784,0.00031428571427835297,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,10.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.0000000000005116,0.88,0.0,0.0,0.0,0.0,False,,0.0,0.6500000000001791,LAMINAR,False,0.7500000000001791,0.00403537888829807,-0.10074464792926943,False,0.6944439611605662,NEUTRAL,0.008496710037413063,0.6694759208254036,0.6800000000003422,LAMINAR,-0.004461331149114994,0.024968040335162534,0.06999999999983686,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1164,49.71,840,,0,LONDON,24.09,NEUTRAL,Belum ada arah BUY/SELL matang.,26.135319805802833
CHFJPY.m,201.86,201.86,201.878,201.869,NEUTRAL,NEUTRAL,NEUTRAL,0.3461,0.4268,0.01002857142857526,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,15.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.799999999997226,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999990292,STRESSED,False,1.0299999999990292,0.003995558953550331,0.38359645527537284,True,0.7262778975527986,NEUTRAL,0.0061150760169574984,0.7094287516127915,0.9599999999996897,STRESSED,-0.002119517063407167,0.016849145940007082,0.06999999999933959,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1405,36.11,838,,0,LONDON,12.07,NEUTRAL,Belum ada arah BUY/SELL matang.,17.572289487763996
EURAUD.m,1.64123,1.64123,1.64132,1.6412749999999998,NEUTRAL,NEUTRAL,NEUTRAL,0.3445,0.4153,6.857142857051685e-06,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,11.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.005283304358225636,0.1526384779039107,True,0.6882099464169656,NEUTRAL,0.01924918123300568,0.6399970427122716,0.6799999999995028,LAMINAR,-0.013965876874780046,0.048212903704694,0.0350000000002294,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1,LONDON,19.02,NEUTRAL,Belum ada arah BUY/SELL matang.,23.381249732084825
EURCAD.m,1.6213899999999999,1.6213899999999999,1.62147,1.62143,NEUTRAL,NEUTRAL,NEUTRAL,0.1143,0.266,-0.00020685714285723598,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,8.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.021587978794794502,0.10558894595970893,True,0.6395875081989172,NEUTRAL,0.03469065382584979,0.6029556041081476,0.7150000000005093,LAMINAR,-0.013102675031055291,0.03663190409076955,-0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1581,34.83,757,,0,LONDON,15.19,NEUTRAL,Belum ada arah BUY/SELL matang.,14.902837540994586
EURCHF.m,0.92053,0.92053,0.92058,0.920555,NEUTRAL,BUY,NEUTRAL,0.5708,0.5421,-3.6000000000038964e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,5.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.004996180291648343,-0.1652170067466265,True,0.6604727368635592,NEUTRAL,0.022829654459263576,0.5557543406750809,0.6099999999998214,LAMINAR,-0.017833474167615233,0.10471839618847834,-0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0096,43.14,801,,0,LONDON,30.02,NEUTRAL,Belum ada arah BUY/SELL matang.,32.3205636843178
EURGBP.m,0.86429,0.86429,0.86433,0.86431,SELL,SELL,STRICT,1.0992,0.8622,8.257142857142701e-05,TREND,83,LEARNING,60,3.0,2.0,0.55,0.45,58,2.42,6.2,DATA_DRIVEN,7.8,DATA_DRIVEN,1.25,0.40000000000040004,0.35,0.0,0.0,0.0,0.0,False,,0.0,0.44000000000014,LAMINAR,False,0.54000000000014,0.004386030871726178,0.23490463845452503,True,0.6680700331395288,SELL,0.014690930214710313,0.6295774063329511,0.6099999999998214,LAMINAR,-0.010304899342984135,0.03849262680657772,-0.06999999999968132,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,LAMINAR,Setup SELL valid. Entry manual boleh dipertimbangkan dengan SL/TP yang tampil. Akurasi historis resolved sekitar 46.30%. Expectancy live 1.2500R.,TRADEABLE,0.0461,46.3,813,1.25,1,LONDON,71.17,PASS,,79.08385016569763
EURJPY.m,185.828,185.828,185.838,185.833,NEUTRAL,NEUTRAL,NEUTRAL,0.0118,0.2135,0.000999999999999336,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,11.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.008113671531597842,0.059710185783696204,True,0.6845546380965866,NEUTRAL,0.02861091272337901,0.6111356646362746,0.7500000000006765,LAMINAR,-0.02049724119178117,0.07341897346031201,-9.947598300641403e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0078,43.87,772,,0,LONDON,16.37,NEUTRAL,Belum ada arah BUY/SELL matang.,16.187073190482934
EURUSD.m,1.16054,1.16054,1.16056,1.16055,NEUTRAL,NEUTRAL,NEUTRAL,0.01,0.1965,-6.885714285721175e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,8.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.20000000000131024,0.18,0.0,0.0,0.0,0.0,False,,0.0,0.3700000000004586,LAMINAR,False,0.4700000000004586,0.01216072760886567,0.02900412691193607,True,0.6270074167973292,NEUTRAL,0.041559543068203926,0.5676540984438672,0.4700000000004586,LAMINAR,-0.029398815459338257,0.059353318353462026,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0451,41.05,802,,0,LONDON,21.25,NEUTRAL,Belum ada arah BUY/SELL matang.,17.90573708398665
