Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.21412,1.21412,1.21427,1.2141950000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.7849,0.694,0.00018714285714288204,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.21412,13.5,135.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.4999999999987244,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8249999999995534,STRESSED,False,0.9249999999995534,0.006639934105068609,0.5397610665607828,False,0.7358286052420959,SELL,0.01428043970055422,0.6851708955981649,0.7850000000001905,LAMINAR,-0.00764050559548561,0.050657709643931015,0.13999999999936286,True,True,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",AVOID,-0.0447,41.37,750,,0,NEW_YORK,25.07,NEUTRAL,Belum ada arah BUY/SELL matang.,32.97804302621048
AUDUSD.m,0.70789,0.70789,0.70795,0.70792,NEUTRAL,NEUTRAL,NEUTRAL,0.2469,0.3325,-8.942857142858883e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.70789,7.3,73.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.0408420402988129,0.000354426418912146,True,0.5966889086792149,NEUTRAL,0.026919058344659783,0.6087705624772337,0.5749999999999807,LAMINAR,0.013922981954153119,-0.012081653798018843,0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0318,41.72,826,,0,NEW_YORK,22.37,NEUTRAL,Belum ada arah BUY/SELL matang.,22.32054454339608
AUDJPY.m,113.453,113.453,113.468,113.4605,NEUTRAL,NEUTRAL,NEUTRAL,0.3159,0.4058,0.0024857142857151733,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,113.453,10.7,107.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.5000000000000568,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000000199,STRESSED,False,0.9250000000000199,0.011817247258755496,-0.008820035227986665,True,0.7164418417817764,NEUTRAL,0.007259762043143588,0.6934760886296344,0.7500000000001791,LAMINAR,0.004557485215611908,0.022965753152142,0.17499999999984084,False,True,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",TRADEABLE,0.1164,49.71,840,,0,NEW_YORK,20.69,NEUTRAL,Belum ada arah BUY/SELL matang.,24.924109208908884
CHFJPY.m,201.93,201.93,201.955,201.9425,NEUTRAL,NEUTRAL,NEUTRAL,0.7821,0.6917,0.015400000000001163,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,201.93,15.8,158.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.5000000000005684,2.19,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.008252100174090471,-0.3639378999007315,True,0.729675479407552,BUY,0.011862022045144301,0.6997938030239359,0.9949999999998568,STRESSED,-0.00360992187105383,0.02988167638361605,0.10500000000014331,True,False,RESONANCE_MISMATCH,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,ANOMALOUS,Jangan entry. Risiko slippage terlalu besar.,AVOID,-0.1405,36.11,838,,0,NEW_YORK,14.04,NEUTRAL,Belum ada arah BUY/SELL matang.,25.64877739703776
EURAUD.m,1.6386500000000002,1.6386500000000002,1.63876,1.638705,NEUTRAL,NEUTRAL,NEUTRAL,0.2958,0.3701,0.0001682857142857641,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,1.63865,12.7,127.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.0999999999983243,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6849999999994134,LAMINAR,False,0.7849999999994134,0.02554535907775015,-0.2322402224003995,True,0.6330134996553818,NEUTRAL,0.0165885471819509,0.6328508479255237,0.68000000000028,LAMINAR,0.00895681189579925,0.00016265172985807652,0.10499999999913334,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1,NEW_YORK,16.17,NEUTRAL,Belum ada arah BUY/SELL matang.,20.758567498276907
EURCAD.m,1.62182,1.62182,1.6219000000000001,1.62186,NEUTRAL,NEUTRAL,NEUTRAL,0.6934,0.606,-1.9428571428694423e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.62182,11.8,118.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.021433385565672692,-0.08368580307373957,False,0.6312000146226262,BUY,0.01724352635854631,0.6528330658705792,0.7150000000005093,LAMINAR,0.004189859207126383,-0.021633051247953006,-0.03500000000022929,True,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",AVOID,-0.1581,34.83,757,,0,NEW_YORK,25.57,NEUTRAL,Belum ada arah BUY/SELL matang.,29.83550007311313
EURCHF.m,0.92068,0.92068,0.92073,0.9207050000000001,SELL,SELL,PROJECTED,0.7519,0.6485,5.0000000000092044e-05,RANGE,72,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.92068,5.5,55.0,0.92123,DATA_DRIVEN,6.9,69.0,0.91999,DATA_DRIVEN,1.25,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.006925795703981857,0.020029625617229083,True,0.6554633860653818,NEUTRAL,0.021729806831657497,0.5662662724699818,0.6100000000002099,LAMINAR,-0.01480401112767564,0.08919711359539995,-0.03500000000022918,True,False,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.0096,43.14,801,,0,NEW_YORK,52.75,WATCH,quality 52.8 < 62 | status historis AVOID | winrate historis 43.14% < 45.00% | expectancy historis -0.0096R < 0.0200R,60.65461693032692
EURGBP.m,0.86384,0.86384,0.86389,0.8638650000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.4131,0.4369,6.228571428575284e-05,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,0.86384,5.5,55.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.010340175088956363,-0.04477490874726883,True,0.6288162160636575,NEUTRAL,0.018424471537166653,0.5934602594075791,0.54000000000014,LAMINAR,-0.00808429644821029,0.03535595665607838,0.034999999999840714,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0461,46.3,813,0.125,2,NEW_YORK,29.99,NEUTRAL,Belum ada arah BUY/SELL matang.,30.32098108031829
EURJPY.m,185.923,185.923,185.933,185.928,NEUTRAL,NEUTRAL,NEUTRAL,0.7367,0.6402,0.02411428571428362,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,185.923,11.5,115.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.017087117787657726,-0.19330061844566035,False,0.6567570249912972,NEUTRAL,0.010875759209298048,0.6708630480052455,0.7150000000005093,LAMINAR,0.006211358578359678,-0.014106023013948366,0.03499999999917236,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0078,43.87,772,,0,NEW_YORK,29.25,NEUTRAL,Belum ada arah BUY/SELL matang.,34.73048512495649
EURUSD.m,1.16007,1.16007,1.16009,1.16008,NEUTRAL,NEUTRAL,NEUTRAL,0.6358,0.5704,-2.314285714285458e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.16007,9.0,90.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.20000000000131024,0.18,0.0,0.0,0.0,0.0,False,,0.0,0.3700000000004586,LAMINAR,False,0.4700000000004586,0.012296204469216743,-0.11376161945800467,True,0.6205372151225153,NEUTRAL,0.008816444458083102,0.6266192943550888,0.46999999999968145,LAMINAR,0.003479760011133641,-0.006082079232573534,7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0451,41.05,802,,0,NEW_YORK,32.47,NEUTRAL,Belum ada arah BUY/SELL matang.,34.05718607561258
