Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.21412,1.21412,1.21418,1.21415,NEUTRAL,NEUTRAL,NEUTRAL,0.5979,0.5413,0.00013599999999999466,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.21412,10.4,104.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.025710580310406288,0.30143413078317655,True,0.6073606049971063,NEUTRAL,0.006639934105068609,0.7358286052420959,0.9249999999995534,STRESSED,0.019070646205337678,-0.1284680002449896,-0.31499999999973205,False,True,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0447,41.37,750,,0,NEW_YORK,28.48,NEUTRAL,Belum ada arah BUY/SELL matang.,31.219203024985532
AUDUSD.m,0.70774,0.70774,0.70779,0.707765,NEUTRAL,NEUTRAL,NEUTRAL,0.3165,0.3654,-7.971428571432327e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.70774,7.1,71.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.0495938534468467,-0.048014218366480906,False,0.5789075845333701,NEUTRAL,0.0408420402988129,0.5966889086792149,0.6099999999998214,LAMINAR,0.008751813148033798,-0.017781324145844768,-0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0318,41.72,826,,0,NEW_YORK,24.32,NEUTRAL,Belum ada arah BUY/SELL matang.,24.41773792266685
AUDJPY.m,113.431,113.431,113.441,113.436,NEUTRAL,NEUTRAL,NEUTRAL,0.3437,0.3971,0.0005428571428662992,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,113.431,10.2,102.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.0000000000005116,0.88,0.0,0.0,0.0,0.0,False,,0.0,0.6500000000001791,LAMINAR,False,0.7500000000001791,0.031807540461371284,-0.028699744297360618,True,0.6335779036815872,NEUTRAL,0.011817247258755496,0.7164418417817764,0.9250000000000199,STRESSED,0.019990293202615788,-0.08286393810018922,-0.17499999999984084,False,True,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1164,49.71,840,,0,NEW_YORK,24.85,NEUTRAL,Belum ada arah BUY/SELL matang.,27.24258951840794
CHFJPY.m,201.892,201.892,201.911,201.9015,NEUTRAL,NEUTRAL,NEUTRAL,0.7032,0.6441,0.013285714285707772,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,201.892,15.1,151.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.9000000000005457,1.66,0.0,0.0,0.0,0.0,False,,0.0,0.965000000000191,STRESSED,False,1.0650000000001911,0.0007557803265649947,-0.3044765144271906,True,0.7404033723246902,NEUTRAL,0.008252100174090471,0.729675479407552,1.1,STRESSED,-0.0074963198475254764,0.010727892917138271,-0.03499999999980896,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1405,36.11,838,,0,NEW_YORK,17.73,NEUTRAL,Belum ada arah BUY/SELL matang.,26.469516861623458
EURAUD.m,1.63883,1.63883,1.63893,1.63888,NEUTRAL,NEUTRAL,NEUTRAL,0.1556,0.2729,0.00012142857142853365,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,1.63883,13.0,130.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9999999999998899,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999999615,LAMINAR,False,0.7499999999999615,0.040709732434531624,-0.14406288245918472,True,0.5917472324928695,NEUTRAL,0.02554535907775015,0.6330134996553818,0.7849999999994134,LAMINAR,0.015164373356781474,-0.04126626716251225,-0.034999999999451914,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1,NEW_YORK,14.24,NEUTRAL,Belum ada arah BUY/SELL matang.,17.24753616246435
EURCAD.m,1.62169,1.62169,1.62181,1.62175,NEUTRAL,NEUTRAL,NEUTRAL,0.7053,0.6278,-0.00012457142857139915,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.62169,11.7,117.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.1999999999989794,1.05,0.0,0.0,0.0,0.0,False,,0.0,0.7199999999996427,LAMINAR,False,0.8199999999996427,0.01547315592187239,-0.10834476583241036,False,0.6792452508249832,NEUTRAL,0.021433385565672692,0.6312000146226262,0.68000000000028,LAMINAR,-0.005960229643800302,0.04804523620235701,0.13999999999936263,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1581,34.83,757,,0,NEW_YORK,22.72,NEUTRAL,Belum ada arah BUY/SELL matang.,28.698626254124914
EURCHF.m,0.92073,0.92073,0.92081,0.9207700000000001,SELL,SELL,PROJECTED,0.8447,0.7124,8.571428571424942e-06,RANGE,63,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.92073,7.0,70.0,0.92143,DATA_DRIVEN,8.8,88.0,0.91985,DATA_DRIVEN,1.25,0.7999999999996897,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999998914,LAMINAR,False,0.6799999999998914,0.005818975904812813,0.039527463533208074,True,0.6815069932272453,SELL,0.006925795703981857,0.6554633860653818,0.5749999999999807,LAMINAR,-0.0011068197991690445,0.02604360716186349,0.10499999999991061,False,False,LAMINAR,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,LAMINAR,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.0096,43.14,801,,0,NEW_YORK,50.01,WATCH,quality 50.0 < 62 | status historis AVOID | winrate historis 43.14% < 45.00% | expectancy historis -0.0096R < 0.0200R,59.14263496613623
EURGBP.m,0.86378,0.86378,0.86383,0.8638049999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.4321,0.448,-2.9714285714246215e-05,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,0.86378,5.5,55.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.01040703648754406,-0.048528375980541126,False,0.6273549124058913,NEUTRAL,0.010340175088956363,0.6288162160636575,0.5749999999999807,LAMINAR,6.686139858769723e-05,-0.0014613036577661997,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0461,46.3,813,0.125,2,NEW_YORK,30.32,NEUTRAL,Belum ada arah BUY/SELL matang.,30.799174562029457
EURJPY.m,185.902,185.902,185.911,185.9065,NEUTRAL,NEUTRAL,NEUTRAL,0.5953,0.5614,0.014514285714276928,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,185.902,11.3,113.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.00972493512412529,-0.13774571853302936,True,0.6766847267872856,NEUTRAL,0.017087117787657726,0.6567570249912972,0.7499999999996817,LAMINAR,-0.007362182663532436,0.01992770179598846,-0.03499999999917236,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0078,43.87,772,,0,NEW_YORK,27.62,NEUTRAL,Belum ada arah BUY/SELL matang.,31.671223633936428
EURUSD.m,1.15993,1.15993,1.1599599999999999,1.159945,NEUTRAL,NEUTRAL,NEUTRAL,0.5968,0.5526,-4.4571428571491315e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.15993,8.6,86.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.29999999999974486,0.26,0.0,0.0,0.0,0.0,False,,0.0,0.40499999999991065,LAMINAR,False,0.5049999999999106,0.007519585287752844,-0.1181582933165794,False,0.6387764051541731,NEUTRAL,0.012296204469216743,0.6205372151225153,0.4700000000004586,LAMINAR,-0.0047766191814639,0.01823919003165786,0.034999999999452025,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0451,41.05,802,,0,NEW_YORK,31.08,NEUTRAL,Belum ada arah BUY/SELL matang.,32.759882025770864
