Symbol,Asset_Class,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Historical_Optimizer_ZF_Floor,Kelly_Full,Kelly_Risk_Multiplier,Dynamic_Lot,Entry_Price,Entry_Model,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Fibo_Position,Fibo_Aligned,Fibo_382,Fibo_500,Fibo_618,Metal_Gate_Ok,OKX_Status,OKX_Instrument,OKX_Last,OKX_Funding_Rate,OKX_Open_Interest,OKX_Open_Interest_USD,OKX_OI_Change_Pct,OKX_External_Stress,OKX_Funding_Bias,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
GBPCADm,forex,M15,DYNAMIC_SL_TP,4.54,1.87766,1.87766,1.87784,1.87775,NEUTRAL,NEUTRAL,NEUTRAL,0.6792,0.519,0.00035714285714290723,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.87766,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7999999999984695,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999994644,STRESSED,False,1.0299999999994645,0.702,False,1.87482,1.87587,1.87692,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.010465748339575316,0.2882402682590004,False,0.35295478802809716,NEUTRAL,0.010465748339575316,0.36166272335632954,1.0299999999994645,STRESSED,0.0,-0.008707935328232386,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.633,81.25,17,,0,THIN_SESSION,33.54,NEUTRAL,Belum ada arah BUY/SELL matang.,42.642973940140486
AUDCHFm,forex,M15,DYNAMIC_SL_TP,4.17,0.56149,0.56149,0.56158,0.561535,NEUTRAL,NEUTRAL,NEUTRAL,0.0171,0.0929,7.000000000001948e-05,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.56149,MARKET_REFERENCE,7.6,76.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.9303,False,0.55968,0.56007,0.56046,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.00804115780893237,0.1051949292945765,True,0.26987843961896585,NEUTRAL,0.0058153767205171795,0.294776052670997,0.7149999999997322,LAMINAR,0.0022257810884151897,-0.024897613052031142,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.4178,88.89,18,-1.0,1,THIN_SESSION,25.16,NEUTRAL,Belum ada arah BUY/SELL matang.,25.91459219809483
GBPNZDm,forex,M15,DYNAMIC_SL_TP,3.76,2.30006,2.30006,2.3003,2.30018,NEUTRAL,NEUTRAL,NEUTRAL,1.0393,0.713,-0.0005708571428569666,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,2.30006,MARKET_REFERENCE,17.5,175.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.399999999997959,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.0808,False,2.30267,2.30369,2.30471,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.03106612290377196,-0.5244920668472178,False,0.26082241750400426,NEUTRAL,0.03188102416759948,0.2628191056675514,1.1,STRESSED,-0.0008149012638275152,-0.0019966881635471445,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.2399,68.42,19,,0,THIN_SESSION,28.39,NEUTRAL,Belum ada arah BUY/SELL matang.,40.940212087520024
AUDUSDm,forex,M15,DYNAMIC_SL_TP,3.77,0.70316,0.70316,0.70325,0.7032050000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.6685,0.4877,0.0002025714285714361,TREND,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.70316,MARKET_REFERENCE,9.5,95.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.459,False,0.70254,0.70349,0.70444,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.002757843156493095,0.41723976922124056,False,0.24907085165540144,NEUTRAL,0.001869199455669131,0.24840144471269138,0.7149999999997322,LAMINAR,0.0008886437008239637,0.0006694069427100602,3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1544,74.07,29,1.25,1,THIN_SESSION,39.7,NEUTRAL,Belum ada arah BUY/SELL matang.,40.93715425827701
EURCADm,forex,M15,DYNAMIC_SL_TP,6.71,1.62453,1.62453,1.6246800000000001,1.624605,NEUTRAL,NEUTRAL,NEUTRAL,0.8045,0.605,0.0003040000000001359,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.62453,MARKET_REFERENCE,13.5,135.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.6647,False,1.62256,1.62338,1.62421,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.013862153908718785,0.3614733780081171,True,0.37711342027807904,NEUTRAL,0.013862153908718785,0.38227750383603043,0.9250000000003306,STRESSED,0.0,-0.005164083557951393,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1091,56.25,17,,0,THIN_SESSION,28.65,NEUTRAL,Belum ada arah BUY/SELL matang.,35.88786710139039
EURAUDm,forex,M15,DYNAMIC_SL_TP,4.6,1.63807,1.63807,1.6382400000000001,1.638155,NEUTRAL,NEUTRAL,NEUTRAL,0.2425,0.2294,-0.00022000000000002627,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,1.63807,MARKET_REFERENCE,11.7,117.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7000000000022553,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000007894,STRESSED,False,0.9950000000007894,0.0903,False,1.64039,1.64133,1.64228,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.010624476125497625,-0.16141556188526116,True,0.2694043385490267,NEUTRAL,0.00986160385506678,0.27925666232396845,0.9950000000000122,STRESSED,0.0007628722704308456,-0.009852323774941774,7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.6291,100.0,10,-1.0,1,THIN_SESSION,24.73,NEUTRAL,Belum ada arah BUY/SELL matang.,31.861321692745133
AUDCADm,forex,M15,DYNAMIC_SL_TP,6.41,0.99164,0.99164,0.99182,0.99173,NEUTRAL,NEUTRAL,NEUTRAL,0.637,0.4739,0.00032199999999995476,TREND,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.99164,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.8384,False,0.98924,0.98986,0.99048,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.021072324588273766,0.5675806456315994,True,0.2629186211778943,NEUTRAL,0.019811976449138388,0.2692074885213427,1.0300000000002416,STRESSED,0.0012603481391353782,-0.006288867343448412,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.4501,92.86,14,-1.0,1,THIN_SESSION,29.52,NEUTRAL,Belum ada arah BUY/SELL matang.,38.77219310588947
NZDCADm,forex,M15,DYNAMIC_SL_TP,6.58,0.81625,0.81625,0.81643,0.8163400000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.9016,0.646,0.0003562857142857319,TREND,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.81625,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7999999999995797,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999998529,STRESSED,False,1.029999999999853,0.9755,False,0.81359,0.81411,0.81464,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.03403985362684778,0.7968134395158303,False,0.29846615510161434,NEUTRAL,0.0348054653446864,0.30472906071508543,1.0300000000002416,STRESSED,-0.0007656117178386213,-0.0062629056134710925,-3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.2309,83.33,12,1.25,1,THIN_SESSION,39.74,NEUTRAL,Belum ada arah BUY/SELL matang.,46.28853077550808
EURGBPm,forex,M15,DYNAMIC_SL_TP,3.82,0.86512,0.86512,0.86525,0.865185,NEUTRAL,NEUTRAL,NEUTRAL,0.5171,0.4775,-5.714285714386861e-07,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,0.86512,MARKET_REFERENCE,9.6,96.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.481,False,0.86496,0.86515,0.86534,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.0010504650595117085,0.09710277157812601,False,0.5458354227623913,NEUTRAL,0.0010504650595117085,0.5631974654453181,0.854999999999872,STRESSED,0.0,-0.017362042682926848,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.055,72.73,11,,0,THIN_SESSION,28.59,NEUTRAL,Belum ada arah BUY/SELL matang.,32.98567711381196
XAUUSDm,metal,M15,DYNAMIC_SL_TP,3.48,4318.701,4318.701,4318.981,4318.841,NEUTRAL,NEUTRAL,NEUTRAL,0.373,0.4101,2.197828571428632,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.5,0.0,0.5,0.0,4318.701,MARKET_REFERENCE,1853.0,18530.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,27.999999999974534,24.5,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.6104,False,4281.331,4300.637,4319.942,True,NOT_CRYPTO,,,,,,,0.0,NEUTRAL,0.10252833487898111,1.0739904631591184,True,0.5362002965204273,NEUTRAL,0.09615061697636597,0.5546424638206198,1.1,VOID,0.00637771790261514,-0.018442167300192436,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,FOCUS,-0.2613,44.83,29,,0,THIN_SESSION,0.0,NEUTRAL,Belum ada arah BUY/SELL matang.,10.145001482602137
