Symbol,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
UKOILm,H4,ZF_DYNAMIC_SL_TP,39.95,80.622,80.622,80.652,80.637,NEUTRAL,NEUTRAL,NEUTRAL,0.4435,0.5996,-0.38717142857142994,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,80.622,173.4,1734.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,3.0000000000001137,2.63,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.14863341480616016,-14.640612996082606,True,0.7782128960279477,NEUTRAL,0.1588889694757604,0.7772133563728321,1.1,VOID,-0.010255554669600236,0.0009995396551156777,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.9458,94.58,166,,0,LONDON,24.42,NEUTRAL,Belum ada arah BUY/SELL matang.,39.550864480139744
USOILm,H4,ZF_DYNAMIC_SL_TP,52.04,77.472,77.474,77.494,77.48400000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.0235,0.3463,-0.39342857142857823,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,77.472,176.6,1766.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.999999999999602,1.75,0.0,0.0,0.0,0.0,False,,0.0,0.9999999999998608,STRESSED,False,1.0999999999998609,0.3133674772444293,-7.422155944035519,True,0.77396612635163,NEUTRAL,0.4238358119763772,0.7632674037382625,1.0999999999998609,STRESSED,-0.11046833473194789,0.010698722613367462,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9255,92.55,188,,0,LONDON,24.83,NEUTRAL,Belum ada arah BUY/SELL matang.,32.71033063175815
USDJPYm,H4,ZF_DYNAMIC_SL_TP,81.62,160.316,160.317,160.327,160.322,NEUTRAL,NEUTRAL,NEUTRAL,0.0727,0.2371,0.0029714285714272457,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,160.316,27.1,271.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.03457109845795339,0.1017417102434946,False,0.6276028407945559,NEUTRAL,0.016045153493507814,0.6566348635123739,0.7499999999996817,LAMINAR,0.018525944964445578,-0.029032022717818018,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9051,90.51,158,,0,LONDON,32.83,NEUTRAL,Belum ada arah BUY/SELL matang.,36.83931420397278
GBPJPYm,H4,ZF_DYNAMIC_SL_TP,97.13,215.198,215.198,215.225,215.2115,NEUTRAL,NEUTRAL,NEUTRAL,0.0761,0.3048,0.008142857142873938,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,215.198,42.0,420.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.6999999999986812,2.36,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.04871780765879438,-0.1166575547236699,True,0.7310174534737524,NEUTRAL,0.010141730745315587,0.7690752637161566,1.1,STRESSED,0.03857607691347879,-0.03805781024240429,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.8932,89.32,206,,0,LONDON,19.02,NEUTRAL,Belum ada arah BUY/SELL matang.,29.624887267368763
EURNZDm,H4,ZF_DYNAMIC_SL_TP,85.31,1.992,1.992,1.99222,1.99211,NEUTRAL,NEUTRAL,NEUTRAL,0.1514,0.3603,0.000931714285714423,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.992,49.2,492.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.2000000000010895,1.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.04020081745697891,1.3664350364367726,True,0.7808370200157759,NEUTRAL,0.027650698876044228,0.7952006419863646,1.1,STRESSED,0.012550118580934685,-0.014363621970588714,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8782,87.82,238,,0,LONDON,24.52,NEUTRAL,Belum ada arah BUY/SELL matang.,33.86378510007888
EURAUDm,H4,ZF_DYNAMIC_SL_TP,142.4,1.64196,1.64196,1.6421299999999999,1.642045,NEUTRAL,NEUTRAL,NEUTRAL,0.6173,0.5658,0.0009134285714286771,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.64196,37.4,374.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.6999999999978144,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8949999999992351,STRESSED,False,0.994999999999235,0.1152115512329854,-0.7127991680652841,False,0.6357992980545873,NEUTRAL,0.1239677718065932,0.6466126496010098,0.9950000000000122,STRESSED,-0.008756220573607795,-0.01081335154642249,-7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8395,83.95,162,,0,LONDON,35.47,NEUTRAL,Belum ada arah BUY/SELL matang.,45.99629649027294
CADJPYm,H4,ZF_DYNAMIC_SL_TP,144.14,114.485,114.485,114.502,114.4935,NEUTRAL,NEUTRAL,NEUTRAL,0.0338,0.2594,-0.029599999999992344,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,114.485,22.7,227.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.6999999999995907,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8949999999998568,STRESSED,False,0.9949999999998568,0.004516862517329304,-0.35283750673041486,False,0.7561107873290926,NEUTRAL,0.044368397026012855,0.7032231321417131,0.9949999999998568,STRESSED,-0.03985153450868355,0.05288765518737959,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8125,81.25,176,,0,LONDON,25.15,NEUTRAL,Belum ada arah BUY/SELL matang.,31.153853936645465
GBPCADm,H4,ZF_DYNAMIC_SL_TP,148.67,1.8796,1.8796,1.87978,1.87969,NEUTRAL,NEUTRAL,NEUTRAL,0.0542,0.275,0.0005454285714285776,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.8796,33.7,337.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.0499352035176144,0.27241646580536594,True,0.7276322369555044,NEUTRAL,0.050932707242860475,0.7263593838236172,1.0299999999994645,STRESSED,-0.0009975037252460753,0.001272853131887186,7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8053,80.53,190,,0,LONDON,24.35,NEUTRAL,Belum ada arah BUY/SELL matang.,30.782661184777524
GBPNZDm,H4,ZF_DYNAMIC_SL_TP,110.51,2.30405,2.30405,2.30429,2.30417,NEUTRAL,NEUTRAL,NEUTRAL,0.0098,0.2699,0.0007537142857142653,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,2.30405,55.0,550.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.399999999997959,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.036648837220876425,0.8354883026940384,False,0.7812199568445355,NEUTRAL,0.02606998423418655,0.7929098837527753,1.1,STRESSED,0.010578852986689875,-0.011689926908239778,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.7921,79.21,202,,0,LONDON,18.61,NEUTRAL,Belum ada arah BUY/SELL matang.,26.971999784222675
GBPCHFm,H4,ZF_DYNAMIC_SL_TP,169.13,1.06658,1.06658,1.06673,1.066655,NEUTRAL,NEUTRAL,NEUTRAL,0.9377,0.7626,0.0001962857142856774,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.06658,18.7,187.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.4999999999987244,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8249999999995534,STRESSED,False,0.9249999999995534,0.07587143666940575,-0.8065832298458111,True,0.6659402161821627,NEUTRAL,0.07880148747244134,0.6610187765791969,0.9250000000003306,STRESSED,-0.002930050803035586,0.00492143960296576,-7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.7913,79.13,206,,0,LONDON,42.15,NEUTRAL,Belum ada arah BUY/SELL matang.,54.17620108091081
