Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDNZD.m,1.21303,1.21303,1.21314,1.213085,NEUTRAL,SELL,NEUTRAL,0.6591,0.6267,0.0006120000000000458,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.21303,14.4,144.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.1000000000005448,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6850000000001906,LAMINAR,False,0.7850000000001905,0.08610832847520643,0.317633693844567,True,0.7604456348597911,NEUTRAL,0.08017234419855415,0.7252794223338308,0.7150000000005093,LAMINAR,0.005935984276652276,0.035166212525960305,0.0699999999996812,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0447,41.37,750,,0,LONDON_NY_OVERLAP,26.3,NEUTRAL,Belum ada arah BUY/SELL matang.,31.76482817429896
AUDUSD.m,0.70861,0.70861,0.70866,0.7086349999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.7339,0.6143,0.00029600000000000963,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.70861,7.9,79.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.09601574745735848,-0.2705007219001217,True,0.5784945090928777,NEUTRAL,0.0942514638246164,0.575905650176455,0.5749999999999807,LAMINAR,0.0017642836327420863,0.002588858916422687,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0318,41.72,826,,0,LONDON_NY_OVERLAP,31.83,NEUTRAL,Belum ada arah BUY/SELL matang.,35.22457254546439
AUDJPY.m,113.486,113.486,113.495,113.4905,NEUTRAL,NEUTRAL,NEUTRAL,0.5087,0.5171,0.050228571428566786,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,113.486,14.1,141.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9000000000000341,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.615000000000012,LAMINAR,False,0.715000000000012,0.11357000717269032,-0.10106619772246331,True,0.7002019854026821,NEUTRAL,0.10711308052095082,0.707349073727674,0.8200000000000159,LAMINAR,0.006456926651739497,-0.00714708832499189,-0.10500000000000398,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.1164,49.71,840,,0,LONDON_NY_OVERLAP,29.07,NEUTRAL,Belum ada arah BUY/SELL matang.,32.53670992701342
CHFJPY.m,201.972,201.972,201.989,201.9805,NEUTRAL,NEUTRAL,NEUTRAL,0.4836,0.5138,-0.009514285714306623,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,201.972,17.8,178.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.6999999999995907,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8949999999998568,STRESSED,False,0.9949999999998568,0.014228675604905231,-0.12437694726398175,True,0.6954357676096723,NEUTRAL,0.011271310278203765,0.7235711074493936,1.1,STRESSED,0.0029573653267014662,-0.028135339839721274,-0.10500000000014331,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1405,36.11,838,,0,LONDON_NY_OVERLAP,15.16,NEUTRAL,Belum ada arah BUY/SELL matang.,21.317578838048362
EURAUD.m,1.63773,1.63773,1.63782,1.637775,NEUTRAL,NEUTRAL,NEUTRAL,0.0839,0.3085,-0.0010054285714285293,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,1.63773,26.0,260.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.14484322500435354,-0.013977275246378165,True,0.8308290105733251,NEUTRAL,0.14093886613008505,0.814980755323685,0.6799999999995028,LAMINAR,0.0039043588742684876,0.015848255249640175,0.03500000000100656,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0397,45.62,818,-1.0,1,LONDON_NY_OVERLAP,15.19,NEUTRAL,Belum ada arah BUY/SELL matang.,17.818245052866626
EURCAD.m,1.62153,1.62153,1.62161,1.62157,NEUTRAL,BUY,NEUTRAL,0.5762,0.5672,-0.0003397142857143218,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.62153,14.3,143.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.08084675767977566,-0.09198963779652086,True,0.7301269079698035,NEUTRAL,0.06217350654245539,0.6481397008445053,0.6099999999998214,LAMINAR,0.018673251137320268,0.08198720712529817,0.0700000000004587,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.1581,34.83,757,,0,LONDON_NY_OVERLAP,24.05,NEUTRAL,Belum ada arah BUY/SELL matang.,27.61893453984902
EURCHF.m,0.92022,0.92022,0.92027,0.920245,NEUTRAL,NEUTRAL,NEUTRAL,0.2159,0.3093,-0.00011314285714283239,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.92022,5.8,58.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.016578694317608566,-0.017841797085315463,True,0.5988538182318359,NEUTRAL,0.023015592263761417,0.570454066347256,0.6450000000000506,LAMINAR,-0.006436897946152851,0.028399751884579882,-0.0700000000000699,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0096,43.14,801,,0,LONDON_NY_OVERLAP,23.26,NEUTRAL,Belum ada arah BUY/SELL matang.,22.616069091159183
EURGBP.m,0.86368,0.86368,0.86372,0.8637,NEUTRAL,NEUTRAL,NEUTRAL,0.1838,0.3154,-0.0002417142857142605,RANGE,0,LEARNING,60,3.0,2.0,0.55,0.45,58,0.0,0.86368,6.4,64.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.40000000000040004,0.35,0.0,0.0,0.0,0.0,False,,0.0,0.44000000000014,LAMINAR,False,0.54000000000014,0.06766714524810058,0.007777128955985424,True,0.6771331963742373,NEUTRAL,0.07380042898455258,0.7148220274520145,0.6099999999998214,LAMINAR,-0.006133283736452,-0.03768883107777721,-0.06999999999968132,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0461,46.3,813,0.125,2,LONDON_NY_OVERLAP,27.0,NEUTRAL,Belum ada arah BUY/SELL matang.,25.24926598187119
EURJPY.m,185.862,185.862,185.871,185.8665,NEUTRAL,BUY,NEUTRAL,0.5996,0.5451,-0.032514285714296515,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,185.862,13.1,131.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.032300714290857714,-0.09910588554014745,True,0.5900872511653794,NEUTRAL,0.03238136713681749,0.5967786761308438,0.7500000000006765,LAMINAR,-8.065284595977495e-05,-0.0066914249654643765,-0.03500000000016712,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0078,43.87,772,,0,LONDON_NY_OVERLAP,27.18,NEUTRAL,Belum ada arah BUY/SELL matang.,31.065036255826897
EURUSD.m,1.16058,1.16058,1.1606,1.16059,BUY,BUY,STRICT,1.1571,0.8602,-0.00022657142857144947,RANGE,83,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.16058,10.1,101.0,1.15957,DATA_DRIVEN,12.7,127.0,1.16185,DATA_DRIVEN,1.26,0.20000000000131024,0.18,0.0,0.0,0.0,0.0,False,,0.0,0.3700000000004586,LAMINAR,False,0.4700000000004586,0.047112272613539355,-0.21505854059308668,True,0.5387162030437955,BUY,0.045368287723479415,0.5355343287052431,0.4350000000002293,LAMINAR,0.0017439848900599395,0.0031818743385524373,0.03500000000022929,False,False,LAMINAR,PROFILE_LOCK,False,WATCH HISTORIS,Pair historis negatif/belum tervalidasi; tidak masuk TOP eksekusi.,LAMINAR,Jangan entry. Pair ini belum lolos validasi historis.,AVOID,-0.0451,41.05,802,,0,LONDON_NY_OVERLAP,64.63,WATCH,status historis AVOID | winrate historis 41.05% < 45.00% | expectancy historis -0.0451R < 0.0200R,74.616881015219
