Symbol,Asset_Class,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,Entry_Model,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Fibo_Position,Fibo_Aligned,Fibo_382,Fibo_500,Fibo_618,Metal_Gate_Ok,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
AUDUSDm,forex,M15,DYNAMIC_SL_TP,5.56,0.70663,0.70663,0.70672,0.7066749999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.5528,0.545,-6.400000000002184e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.70663,MARKET_REFERENCE,7.6,76.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.4901,False,0.70636,0.70666,0.70695,True,0.05299669106735293,0.1756149923589417,True,0.7015092784785747,SELL,0.006225240517501958,0.6935213416388025,0.7150000000001208,LAMINAR,0.04677145054985097,0.00798793683977217,0.0,True,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",TRADEABLE,0.1268,68.49,152,,0,LONDON_NY_OVERLAP,33.79,NEUTRAL,Belum ada arah BUY/SELL matang.,37.43044639239288
EURGBPm,forex,M15,DYNAMIC_SL_TP,5.92,0.86525,0.86525,0.86538,0.8653150000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.4092,0.4355,5.5142857142841874e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.86525,MARKET_REFERENCE,9.6,96.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.3000000000007448,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.7550000000002606,STRESSED,False,0.8550000000002606,0.7863,False,0.86472,0.86488,0.86503,True,0.013345025298782268,-0.046244196287422996,True,0.6307704867933387,BUY,0.007408641494576985,0.6714675933134282,0.854999999999872,STRESSED,0.005936383804205283,-0.04069710652008951,3.885780586188048e-13,True,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",TRADEABLE,0.0441,62.96,119,,0,LONDON_NY_OVERLAP,25.03,NEUTRAL,Belum ada arah BUY/SELL matang.,28.857152433966696
GBPCADm,forex,M15,DYNAMIC_SL_TP,5.09,1.87748,1.87748,1.87766,1.87757,NEUTRAL,NEUTRAL,NEUTRAL,0.2719,0.3671,-0.00020371428571427014,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.87748,MARKET_REFERENCE,12.3,123.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.363,False,1.87756,1.87806,1.87857,True,0.01540907940390428,0.0231656112804089,True,0.6697769848807613,NEUTRAL,0.028811470595265024,0.6883050847530965,1.0300000000002416,STRESSED,-0.013402391191360743,-0.01852809987233517,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.2798,77.38,89,,0,LONDON_NY_OVERLAP,25.15,NEUTRAL,Belum ada arah BUY/SELL matang.,29.960584924403804
EURAUDm,forex,M15,DYNAMIC_SL_TP,7.11,1.6398899999999998,1.6398899999999998,1.64006,1.639975,NEUTRAL,NEUTRAL,NEUTRAL,0.5762,0.5419,-5.114285714287319e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.63989,MARKET_REFERENCE,11.7,117.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7000000000022553,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000007894,STRESSED,False,0.9950000000007894,0.1542,False,1.64135,1.64211,1.64287,True,0.022597770097942203,-0.37520645030246447,True,0.6525847181827228,BUY,0.015943508762138875,0.6850285901864618,0.9950000000007894,STRESSED,0.006654261335803328,-0.032443872003738994,0.0,True,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",WATCH_ONLY,0.2017,73.68,63,,0,LONDON_NY_OVERLAP,29.42,NEUTRAL,Belum ada arah BUY/SELL matang.,36.171123590913616
GBPNZDm,forex,M15,DYNAMIC_SL_TP,4.83,2.3032500000000002,2.3032500000000002,2.30349,2.30337,NEUTRAL,NEUTRAL,NEUTRAL,0.8573,0.7172,-2.2285714285769107e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,2.30325,MARKET_REFERENCE,14.1,141.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.399999999997959,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.4758,False,2.3024,2.30347,2.30454,True,0.025097298350834338,-0.3606793583744474,False,0.6752375775135753,BUY,0.005608464346138989,0.7616392842939561,1.1,STRESSED,0.01948883400469535,-0.08640170678038084,0.0,True,False,RESONANCE_MISMATCH,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,ANOMALOUS,Jangan entry. Risiko slippage terlalu besar.,WATCH_ONLY,0.1731,68.33,66,,0,LONDON_NY_OVERLAP,27.25,NEUTRAL,Belum ada arah BUY/SELL matang.,38.93168788756787
NZDCADm,forex,M15,DYNAMIC_SL_TP,6.18,0.81507,0.81507,0.81525,0.81516,NEUTRAL,NEUTRAL,NEUTRAL,0.8138,0.706,-6.800000000002934e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.81507,MARKET_REFERENCE,12.3,123.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.4373,False,0.81489,0.81527,0.81566,True,0.04177460178015643,0.3658583715083648,False,0.7163527130405379,SELL,0.023834416455590455,0.6551494529625579,1.0300000000002416,STRESSED,0.017940185324565972,0.06120326007798005,0.0,True,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",WATCH_ONLY,0.1598,71.62,80,,0,LONDON_NY_OVERLAP,32.16,NEUTRAL,Belum ada arah BUY/SELL matang.,41.298563565202684
AUDCADm,forex,M15,DYNAMIC_SL_TP,7.6,0.99055,0.99055,0.99073,0.99064,NEUTRAL,NEUTRAL,NEUTRAL,0.6388,0.585,-1.800000000003834e-05,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.99055,MARKET_REFERENCE,15.5,155.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7999999999995797,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999998529,STRESSED,False,1.029999999999853,0.875,False,0.98893,0.98932,0.98971,True,0.02645824586937476,0.35552002216995227,False,0.658667397603768,NEUTRAL,0.020368545773618723,0.6502921872273238,1.0300000000002416,STRESSED,0.0060897000957560385,0.008375210376444175,-3.885780586188048e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0976,69.23,92,,0,LONDON_NY_OVERLAP,27.27,NEUTRAL,Belum ada arah BUY/SELL matang.,34.83183698801884
AUDCHFm,forex,M15,DYNAMIC_SL_TP,5.39,0.56046,0.56046,0.56055,0.560505,NEUTRAL,NEUTRAL,NEUTRAL,0.7847,0.6568,1.771428571427938e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,0.56046,MARKET_REFERENCE,7.6,76.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.6497,False,0.55962,0.55999,0.56036,True,0.03740078167441239,0.4628619232222621,True,0.6162590088551987,SELL,0.007030818933837951,0.6771422326278304,0.7150000000001208,LAMINAR,0.030369962740574435,-0.06088322377263167,0.0,True,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: LAMINAR.",WATCH_ONLY,0.0874,71.58,99,,0,LONDON_NY_OVERLAP,37.45,NEUTRAL,Belum ada arah BUY/SELL matang.,42.65959504427599
EURCADm,forex,M15,DYNAMIC_SL_TP,5.38,1.62462,1.62462,1.62477,1.624695,NEUTRAL,NEUTRAL,NEUTRAL,0.0601,0.2661,-7.085714285709431e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.62462,MARKET_REFERENCE,10.7,107.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.5248,False,1.62413,1.62453,1.62494,True,7.311727782568821e-05,-0.02350511372275147,True,0.7558969688043216,NEUTRAL,0.03380965298751935,0.6860607272025505,0.9250000000003306,STRESSED,-0.033736535709693656,0.06983624160177104,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,WATCH_ONLY,0.0665,63.86,89,,0,LONDON_NY_OVERLAP,18.38,NEUTRAL,Belum ada arah BUY/SELL matang.,20.490884844021608
UKOILm,energy,M15,DYNAMIC_SL_TP,5.96,81.097,80.228,80.264,80.246,SELL,SELL,PROJECTED,0.8703,0.7511,0.19477142857142593,TREND,55,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,81.097,ZF_FIBO_SELL_LIMIT,119.1,1191.0,82.288,DATA_DRIVEN,172.6,1726.0,79.371,DATA_DRIVEN,1.45,3.6000000000001364,3.15,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.7685,True,79.362,79.892,80.422,True,1.0757915251643375,4.966224850022025,False,0.5607851239669421,NEUTRAL,0.03151496294434625,0.7606465348871589,1.1,VOID,1.0442765622199912,-0.1998614109202168,0.0,True,False,RESONANCE_MISMATCH,PROFILE_LOCK,False,WATCH HISTORIS,Pair watch-only butuh confidence lebih tinggi untuk proyeksi.,ANOMALOUS,Jangan entry. Pair ini belum lolos validasi historis.,WATCH_ONLY,0.0507,58.75,88,,0,LONDON_NY_OVERLAP,29.78,WATCH,quality 29.8 < 55.0,48.11332561983471
