Symbol,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals
USDCAD.m,1.3965,1.3965,1.39661,1.396555,NEUTRAL,NEUTRAL,NEUTRAL,0.112,0.2701,-0.0001348571428571417,RANGE,0,DEFAULT,60,3.0,2.0,0.0,9.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.0999999999983243,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6849999999994134,LAMINAR,False,0.7849999999994134,0.015995271176688725,-0.11806314146467786,True,0.672315375201605,NEUTRAL,0.006312365536885831,0.7118362027613647,0.7500000000007386,LAMINAR,0.009682905639802893,-0.03952082755975972,0.03499999999867476,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0203,42.24,816,,0
USDCHF.m,0.79383,0.79383,0.79391,0.7938700000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.3951,0.4294,-0.00014914285714294506,RANGE,0,DEFAULT,60,3.0,2.0,0.0,8.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7999999999996897,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5799999999998914,LAMINAR,False,0.6799999999998914,0.007791840562910356,-0.34549749594434676,True,0.635302601364578,NEUTRAL,0.025211297547181783,0.6565405658195814,0.7150000000001208,LAMINAR,-0.017419456984271428,-0.021237964455003477,-0.0350000000002294,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0759,39.23,811,,0
USDJPY.m,160.069,160.069,160.075,160.072,NEUTRAL,NEUTRAL,NEUTRAL,0.1013,0.2433,-0.02402857142857312,RANGE,0,DEFAULT,60,3.0,2.0,0.0,14.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6000000000000227,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.510000000000008,LAMINAR,False,0.610000000000008,0.029016428482534468,0.07134046409168514,True,0.6049057869379274,NEUTRAL,0.006161277310091592,0.7004286900757141,0.8200000000000159,LAMINAR,0.022855151172442877,-0.09552290313778666,-0.21000000000000796,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0504,40.86,889,,0
AUDCAD.m,0.98916,0.98916,0.98923,0.989195,NEUTRAL,NEUTRAL,NEUTRAL,0.4545,0.4676,0.00021714285714280782,TREND,0,DEFAULT,60,3.0,2.0,0.0,17.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.017892423014231197,0.3182813023254106,True,0.6386787193402843,NEUTRAL,0.023383474261036263,0.6364408242808453,0.6799999999998914,LAMINAR,-0.005491051246805066,0.0022378950594390545,-0.034999999999840714,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0449,46.02,750,,0
AUDCHF.m,0.5623,0.5623,0.56236,0.56233,NEUTRAL,NEUTRAL,NEUTRAL,0.0864,0.2317,7.171428571425354e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.0,7.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.025624993360605294,0.0826579586683718,True,0.5973061727177814,NEUTRAL,0.0067109199148670156,0.6889497294922198,0.68000000000028,LAMINAR,0.01891407344573828,-0.09164355677443836,-0.0700000000004587,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0519,41.07,757,,0
EURNZD.m,1.98275,1.98275,1.98288,1.982815,NEUTRAL,NEUTRAL,NEUTRAL,0.0722,0.2554,2.742857142852552e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.0,29.1,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.012329058268176617,0.045331481095109774,True,0.702916605651378,NEUTRAL,0.004548259215674325,0.7077300864885142,0.7499999999999615,LAMINAR,0.007780799052502291,-0.004813480837136175,0.1049999999999105,False,True,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",WATCH_ONLY,0.0244,44.84,845,,0
GBPCAD.m,1.8775,1.8775,1.8776000000000002,1.87755,NEUTRAL,NEUTRAL,NEUTRAL,0.433,0.4492,-6.742857142864567e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.0,14.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.0000000000021103,0.88,0.0,0.0,0.0,0.0,False,,0.0,0.6500000000007387,LAMINAR,False,0.7500000000007386,0.030257186120755574,0.1754577292478906,True,0.6305668798376005,NEUTRAL,0.04597597676252859,0.5660080176135297,0.68000000000028,LAMINAR,-0.015718790641773017,0.06455886222407081,0.07000000000045858,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.157,34.78,794,,0
GBPNZD.m,2.2974,2.2974,2.2976,2.2975000000000003,NEUTRAL,NEUTRAL,NEUTRAL,0.1285,0.2988,-4.314285714290039e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.0,32.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.9999999999997797,1.75,0.0,0.0,0.0,0.0,False,,0.0,0.999999999999923,STRESSED,False,1.099999999999923,0.022554195024743613,0.10490991452283512,True,0.7212096765525915,NEUTRAL,0.014266451220218508,0.7095248868676965,0.9250000000003306,STRESSED,0.008287743804525105,0.011684789684894947,0.17499999999959248,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0526,40.72,846,,0
NZDCAD.m,0.81717,0.81717,0.81726,0.817215,NEUTRAL,NEUTRAL,NEUTRAL,0.1784,0.3128,-1.4857142857119211e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.0,12.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.02093384376494668,0.13960573572403107,False,0.6769662255399355,NEUTRAL,0.043347881741145546,0.6207066386339739,0.6450000000000506,LAMINAR,-0.022414037976198866,0.056259586905961556,0.07000000000007012,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0932,38.74,824,,0
NZDCHF.m,0.46453,0.46453,0.4646,0.464565,NEUTRAL,NEUTRAL,NEUTRAL,0.5704,0.5382,-5.171428571427629e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.0,6.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.01086252119934045,-0.11564035272765759,False,0.652915474266335,NEUTRAL,0.02357125836047668,0.6074591257234935,0.6450000000000506,LAMINAR,-0.01270873716113623,0.04545634854284153,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.0403,45.74,775,,0
NZDJPY.m,93.667,93.667,93.678,93.6725,NEUTRAL,NEUTRAL,NEUTRAL,0.3382,0.3947,-0.006857142857151381,RANGE,0,DEFAULT,60,3.0,2.0,0.0,16.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.099999999999568,0.96,0.0,0.0,0.0,0.0,False,,0.0,0.6849999999998488,LAMINAR,False,0.7849999999998488,0.034962154370682036,0.36229735737568786,True,0.6376253630032723,NEUTRAL,0.044643529624242326,0.6314096255705721,0.855000000000183,STRESSED,-0.00968137525356029,0.006215737432700208,-0.07000000000033413,False,True,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,AVOID,-0.0455,41.31,823,,0
XAGUSD.m,70.383,70.383,70.414,70.3985,NEUTRAL,NEUTRAL,NEUTRAL,0.2953,0.451,0.03588571428571912,TREND,0,DEFAULT,60,3.0,2.0,0.0,84.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,3.100000000000591,2.71,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.518089287984709,5.937139462346357,True,0.6654718561834227,NEUTRAL,0.38296298971290027,0.6992931480461118,1.1,VOID,0.13512629827180872,-0.03382129186268901,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,AVOID,-0.0625,40.12,835,,0
XAUUSD.m,4324.15,4324.15,4324.42,4324.285,NEUTRAL,NEUTRAL,NEUTRAL,0.4783,0.4945,3.616571428570847,TREND,0,DEFAULT,60,3.0,2.0,0.0,2793.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,27.000000000043656,23.63,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.24747894226159675,4.192116493983822,True,0.6746058558402988,NEUTRAL,0.12000562668537218,0.7244637980616107,1.1,VOID,0.12747331557622457,-0.0498579422213119,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.0753,47.74,757,,0
