Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals
AUDNZD.m,1.20969,1.20969,1.20978,1.209735,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.0157864002856081,0.3025091686704003,True,0.6652914975101722,NEUTRAL,0.008280889537319086,0.6827145954929721,0.6450000000000506,LAMINAR,0.007505510748289012,-0.01742309798279984,0.0700000000004587,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDUSD.m,0.70765,0.70765,0.7077,0.707675,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,15.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.0355280123221745,0.22650970704604398,True,0.6153975864362984,NEUTRAL,0.07163741106765943,0.5602258994375096,0.54000000000014,LAMINAR,-0.03610939874548493,0.05517168699878883,0.034999999999840714,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDJPY.m,113.343,113.343,113.353,113.348,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.0031651778114300732,0.5481850891202619,False,0.6924509548713629,NEUTRAL,0.005223008641024763,0.6973255219734391,0.7850000000003462,LAMINAR,-0.00205783082959469,-0.004874567102076233,-0.0350000000006645,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.112,49.49,839,,0
CHFJPY.m,201.605,201.605,201.628,201.61649999999997,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,22.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,2.2999999999996135,2.01,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.026943834581732058,0.712241663166235,False,0.6830418967915977,NEUTRAL,0.015337717329312833,0.71321822706343,1.1,STRESSED,0.011606117252419225,-0.030176330271832308,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,UNVALIDATED,,,0,,0
EURAUD.m,1.63888,1.63888,1.63897,1.638925,NEUTRAL,RANGE,0,LEARNING,60,3.0,2.0,0.0,20.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.02646425063410222,-0.13013230479056725,True,0.6174531635670581,NEUTRAL,0.00016305868969759135,0.6745394990689417,0.5750000000003693,LAMINAR,0.02630119194440463,-0.05708633550188358,0.14000000000014,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.0365,45.45,818,-1.0,1
EURCAD.m,1.62042,1.62042,1.6204800000000001,1.62045,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,12.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6000000000017102,0.53,0.0,0.0,0.0,0.0,False,,0.0,0.5100000000005985,LAMINAR,False,0.6100000000005985,0.02606962510883855,0.008724934903569358,True,0.614066864153584,NEUTRAL,0.02735199229585582,0.6106437590028844,0.6099999999998214,LAMINAR,-0.0012823671870172727,0.003423105150699657,7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURCHF.m,0.92134,0.92134,0.9214,0.92137,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,6.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.0019526289185159312,-0.06594121288744703,True,0.6883398539860983,NEUTRAL,0.018014441997267552,0.5989409845579372,0.7150000000001208,LAMINAR,-0.01606181307875162,0.08939886942816111,-0.10500000000029941,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURGBP.m,0.86308,0.86308,0.86313,0.863105,NEUTRAL,RANGE,0,LEARNING,60,3.0,2.0,0.0,6.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.01550400369789469,-0.0012206890242748205,False,0.6095268627259987,NEUTRAL,0.01417704852286939,0.6274095088977416,0.6449999999996621,LAMINAR,0.001326955175025301,-0.017882646171742955,-0.06999999999968132,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.046,46.3,813,1.25,1
EURJPY.m,185.763,185.763,185.77,185.7665,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000005002,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.545000000000175,LAMINAR,False,0.645000000000175,0.01767322772005679,0.323466202412258,True,0.6166238850113488,NEUTRAL,0.00788292218491105,0.6742195816613739,0.7499999999996817,LAMINAR,0.009790305535145741,-0.05759569665002506,-0.10499999999950671,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURUSD.m,1.15983,1.15983,1.15985,1.15984,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,14.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.20000000000131024,0.18,0.0,0.0,0.0,0.0,False,,0.0,0.3700000000004586,LAMINAR,False,0.4700000000004586,0.05388595425943754,0.07437859043392353,True,0.5365416722675507,NEUTRAL,0.06788102993916036,0.5336161573465144,0.4350000000002293,LAMINAR,-0.013995075679722815,0.0029255149210363207,0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
GBPAUD.m,1.89881,1.89881,1.89894,1.898875,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,26.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.2999999999996346,1.14,0.0,0.0,0.0,0.0,False,,0.0,0.754999999999872,STRESSED,False,0.854999999999872,0.046438320819048744,-0.1213523105506242,False,0.6185189095725613,NEUTRAL,0.017938504317758754,0.6758588579659324,0.854999999999872,STRESSED,0.02849981650128999,-0.05733994839337109,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,UNVALIDATED,,,0,,0
GBPCHF.m,1.06749,1.06749,1.06759,1.0675400000000002,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,8.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9999999999998899,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999999615,LAMINAR,False,0.7499999999999615,0.01717634577328094,-0.04940439435073293,True,0.6296443627501185,NEUTRAL,0.00018750526480543659,0.7058088968165754,0.7850000000001905,LAMINAR,0.016988840508475503,-0.07616453406645696,-0.03500000000022907,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
GBPJPY.m,215.222,215.222,215.244,215.233,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,23.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,2.199999999999136,1.92,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.038051242154776004,0.5983175539869885,True,0.6853047503444527,NEUTRAL,0.011267383777410397,0.7451577261850495,1.1,VOID,0.026783858377365605,-0.05985297584059679,0.0,False,True,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,UNVALIDATED,,,0,,0
GBPUSD.m,1.3437700000000001,1.3437700000000001,1.34384,1.3438050000000001,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,18.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.6999999999979244,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5449999999992735,LAMINAR,False,0.6449999999992735,0.07550863274858911,0.13965159514922407,False,0.5710272080346013,NEUTRAL,0.08682516010314552,0.6095310337229236,0.7149999999997322,LAMINAR,-0.011316527354556405,-0.038503825688322335,-0.0700000000004587,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
NZDUSD.m,0.585,0.585,0.58505,0.5850249999999999,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,10.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.05829927365384835,0.051652271987206906,True,0.5988573229880851,NEUTRAL,0.08421156180115098,0.5650301173834036,0.5749999999999807,LAMINAR,-0.025912288147302634,0.033827205604681554,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
USDCAD.m,1.39717,1.39717,1.39726,1.397215,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,9.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8999999999992347,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6149999999997322,LAMINAR,False,0.7149999999997322,0.026042266248780463,-0.09830591535164478,True,0.6348228247704965,NEUTRAL,0.03971445561923804,0.5850193413338294,0.7149999999997322,LAMINAR,-0.013672189370457576,0.04980348343666707,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
USDCHF.m,0.79433,0.79433,0.79442,0.794375,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,8.8,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.900000000000345,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000001208,LAMINAR,False,0.7150000000001208,0.04997672462809523,-0.1706516902786634,True,0.6097832233343183,NEUTRAL,0.08440780091397578,0.6009976762383742,0.7150000000001208,LAMINAR,-0.034431076285880546,0.008785547095944146,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
USDJPY.m,160.164,160.164,160.171,160.1675,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,13.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000005002,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.545000000000175,LAMINAR,False,0.645000000000175,0.034955318246299646,0.22912173666450195,True,0.5981497772185891,NEUTRAL,0.07438546415214757,0.643324211402104,0.7849999999998488,LAMINAR,-0.039430145905847924,-0.04517443418351497,-0.13999999999967383,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDCAD.m,0.98874,0.98874,0.98881,0.988775,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,17.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.004186665508051564,0.1593288066141639,True,0.6712622273239255,NEUTRAL,0.030104136026234806,0.6164240339072169,0.6099999999998214,LAMINAR,-0.02591747051818324,0.05483819341670859,0.03500000000022929,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.0511,46.35,752,,0
AUDCHF.m,0.56214,0.56214,0.56222,0.56218,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,7.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.01889177798493364,0.0986201206958731,False,0.64351196094971,NEUTRAL,0.014469454359339329,0.6540757072061003,0.6450000000000506,LAMINAR,0.004422323625594311,-0.010563746256390338,0.0350000000002294,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURNZD.m,1.98254,1.98254,1.98262,1.98258,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,27.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.004965712286415345,0.11986526338590756,True,0.6951434650834806,NEUTRAL,0.010621080059267159,0.6801077327082959,0.68000000000028,LAMINAR,-0.0056553677728518135,0.01503573237518463,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
GBPCAD.m,1.87748,1.87748,1.87754,1.87751,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,15.3,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.5999999999994897,0.52,0.0,0.0,0.0,0.0,False,,0.0,0.5099999999998214,LAMINAR,False,0.6099999999998214,0.045024075879087605,0.031959356751889725,False,0.5529730693805681,NEUTRAL,0.045192375367056406,0.5882409794644677,0.7850000000001905,LAMINAR,-0.000168299487968801,-0.03526791008389962,-0.1750000000003692,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
