Symbol,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
UKOILm,H4,TP_ONLY,39.95,82.311,82.311,82.342,82.32650000000001,NEUTRAL,NEUTRAL,NEUTRAL,0.6467,0.6744,-0.018142857142854102,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,82.311,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,3.09999999999917,2.71,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.8398560493915537,-17.966404916171456,False,0.6237686820042516,NEUTRAL,0.8451874056475184,0.6258000226640665,1.1,VOID,-0.005331356255964703,-0.0020313406598149175,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.9458,94.58,166,,0,THIN_SESSION,31.9,NEUTRAL,Belum ada arah BUY/SELL matang.,46.14384341002126
USOILm,H4,TP_ONLY,52.04,79.33,79.33,79.35,79.34,NEUTRAL,NEUTRAL,NEUTRAL,0.318,0.5008,0.14337142857142668,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,79.33,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,1.999999999999602,1.75,0.0,0.0,0.0,0.0,False,,0.0,0.9999999999998608,STRESSED,False,1.0999999999998609,1.105164034163764,-13.127774183211388,False,0.7001051015899942,NEUTRAL,1.117029354103465,0.7001363284775957,1.0999999999998609,STRESSED,-0.011865319939700969,-3.122688760148762e-05,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9255,92.55,188,,0,THIN_SESSION,35.24,NEUTRAL,Belum ada arah BUY/SELL matang.,42.77852550794998
USDJPYm,H4,TP_ONLY,81.62,160.217,160.217,160.227,160.222,NEUTRAL,NEUTRAL,NEUTRAL,0.0143,0.0917,0.026457142857152074,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,160.217,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.014045312514665093,0.04448874839175292,True,0.24634441077335803,NEUTRAL,0.011705140141229276,0.24727226069160213,0.7499999999996817,LAMINAR,0.0023401723734358167,-0.0009278499182441002,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9051,90.51,158,,0,THIN_SESSION,35.04,NEUTRAL,Belum ada arah BUY/SELL matang.,35.21412205386679
GBPJPYm,H4,TP_ONLY,97.13,214.769,214.769,214.791,214.78,NEUTRAL,NEUTRAL,NEUTRAL,0.3019,0.3062,-0.046714285714296346,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,214.769,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,2.199999999999136,1.92,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.10753664215128814,0.7693920734003366,True,0.3396964840149233,NEUTRAL,0.10672185416720231,0.34411561579628425,1.1,STRESSED,0.0008147879840858241,-0.004419131781360941,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8932,89.32,206,,0,THIN_SESSION,30.49,NEUTRAL,Belum ada arah BUY/SELL matang.,37.58958242007462
EURNZDm,H4,TP_ONLY,85.31,1.99349,1.99349,1.99371,1.9936,NEUTRAL,NEUTRAL,NEUTRAL,0.0234,0.1761,0.0013934285714286658,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.99349,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,2.2000000000010895,1.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.21057115136066618,0.9445241948382341,True,0.41676283552129506,NEUTRAL,0.21245337460274732,0.4225265591573655,1.1,STRESSED,-0.001882223242081149,-0.005763723636070417,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8782,87.82,238,,0,THIN_SESSION,25.59,NEUTRAL,Belum ada arah BUY/SELL matang.,30.583914177606474
EURAUDm,H4,TP_ONLY,142.4,1.6403699999999999,1.6403699999999999,1.64054,1.640455,NEUTRAL,NEUTRAL,NEUTRAL,0.6252,0.4986,-0.00031942857142854713,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.64037,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,1.7000000000022553,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000007894,STRESSED,False,0.9950000000007894,0.08743655346306926,-0.6794873189517509,False,0.4084651707917411,NEUTRAL,0.08476914563419909,0.41631021550272174,0.9950000000007894,STRESSED,0.0026674078288701775,-0.007845044710980631,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8395,83.95,162,,0,THIN_SESSION,39.8,NEUTRAL,Belum ada arah BUY/SELL matang.,47.36752585395871
CADJPYm,H4,TP_ONLY,144.14,114.462,114.462,114.479,114.4705,NEUTRAL,NEUTRAL,NEUTRAL,0.2339,0.2348,-0.013742857142856375,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,114.462,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,1.6999999999995907,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8949999999998568,STRESSED,False,0.9949999999998568,0.04050022633606744,-0.059399208788431544,True,0.31158759850099316,NEUTRAL,0.04213767833565271,0.31192678319821193,0.9949999999998568,STRESSED,-0.0016374519995852738,-0.0003391846972187751,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8125,81.25,176,,0,THIN_SESSION,31.64,NEUTRAL,Belum ada arah BUY/SELL matang.,35.70233799250497
GBPCADm,H4,TP_ONLY,148.67,1.87619,1.87619,1.87637,1.87628,NEUTRAL,NEUTRAL,NEUTRAL,0.1896,0.2706,-0.000181428571428493,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.87619,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,1.80000000000069,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000002415,STRESSED,False,1.0300000000002416,0.07152476041513794,0.7980256768736387,True,0.44851327854810064,NEUTRAL,0.06986004773400108,0.453876731524279,1.0299999999994645,STRESSED,0.0016647126811368679,-0.005363452976178351,7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8053,80.53,190,,0,THIN_SESSION,30.67,NEUTRAL,Belum ada arah BUY/SELL matang.,35.0294663927405
GBPNZDm,H4,TP_ONLY,110.51,2.30621,2.30621,2.30645,2.30633,NEUTRAL,NEUTRAL,NEUTRAL,0.0769,0.2124,0.0016457142857142645,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,2.30621,,,,TANPA_SL_TP_ONLY,50.0,500.0,,TP_ONLY_50_PIPS,,2.399999999997959,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.19340338397989681,0.5837457005583659,True,0.4351002036363554,NEUTRAL,0.1917764650456825,0.436777708467977,1.1,STRESSED,0.001626918934214322,-0.0016775048316216012,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.7921,79.21,202,,0,THIN_SESSION,23.29,NEUTRAL,Belum ada arah BUY/SELL matang.,28.889001018181776
GBPCHFm,H4,TP_ONLY,169.13,1.06555,1.06555,1.0657,1.065625,BUY,BUY,STRICT,1.0607,0.8331,7.714285714289651e-05,RANGE,73,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.01,1.06555,,,,TANPA_SL_TP_ONLY,50.0,500.0,1.07055,TP_ONLY_50_PIPS,,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.0026526783183049344,-0.8078795025752297,False,0.6312865796493934,BUY,0.006171171454762772,0.6294257299367609,0.9249999999995534,STRESSED,-0.003518493136457838,0.0018608497126324508,7.771561172376096e-13,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,STRESSED,Setup BUY valid pada TF H4. Mode ini mengincar TP sekitar 50.0 pips tanpa SL; gunakan lot kecil dan pantau floating risk. Akurasi historis resolved sekitar 79.13%.,TRADEABLE,0.7913,79.13,206,,0,THIN_SESSION,65.41,PASS,,81.90393289824696
