Symbol,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
UKOILm,H4,ZF_DYNAMIC_SL_TP,39.95,78.594,78.594,78.626,78.61,NEUTRAL,NEUTRAL,NEUTRAL,0.3304,0.3207,-0.2908571428571399,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,78.594,210.1,2101.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,3.2000000000010687,2.8,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.18621116483609454,-13.972687207419131,True,0.37018545774935896,NEUTRAL,0.10884949746094094,0.5051257194950642,1.1,VOID,0.0773616673751536,-0.13494026174570528,0.0,False,False,LAMINAR,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.9458,94.58,166,,0,LONDON,18.28,NEUTRAL,Belum ada arah BUY/SELL matang.,32.3241272887468
USOILm,H4,ZF_DYNAMIC_SL_TP,52.04,75.036,75.036,75.056,75.04599999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.4409,0.5292,-0.36431428571428204,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,75.036,203.0,2030.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.999999999999602,1.75,0.0,0.0,0.0,0.0,False,,0.0,0.9999999999998608,STRESSED,False,1.0999999999998609,0.1624666770609192,-16.549273583457385,True,0.5488491621408663,NEUTRAL,0.4826411895620288,0.7166961611057875,1.0999999999998609,STRESSED,-0.3201745125011096,-0.16784699896492117,0.0,False,False,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,"Waspada. Ada tanda anomali, tetapi belum ada arah entry yang matang. Likuiditas: STRESSED.",TRADEABLE,0.9255,92.55,188,,0,LONDON,30.99,NEUTRAL,Belum ada arah BUY/SELL matang.,41.651145810704335
USDJPYm,H4,ZF_DYNAMIC_SL_TP,81.62,160.273,160.273,160.283,160.278,NEUTRAL,NEUTRAL,NEUTRAL,0.184,0.2491,-0.01882857142856741,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,160.273,22.8,228.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.05976574563674044,-0.08528842083290405,True,0.4498192716809488,NEUTRAL,0.07029025168242321,0.5818660650417077,0.7499999999996817,LAMINAR,-0.010524506045682773,-0.13204679336075886,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9051,90.51,158,,0,LONDON,33.76,NEUTRAL,Belum ada arah BUY/SELL matang.,38.24269635840474
GBPJPYm,H4,ZF_DYNAMIC_SL_TP,97.13,214.978,214.978,215.0,214.989,NEUTRAL,NEUTRAL,NEUTRAL,0.163,0.2136,-0.042228571428574266,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,214.978,42.2,422.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.199999999999136,1.92,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.10037146495599383,-0.36736501499865665,False,0.37078528305974623,NEUTRAL,0.10298636766305153,0.5261122052405751,1.1,STRESSED,-0.0026149027070576925,-0.15532692218082889,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8932,89.32,206,,0,LONDON,22.62,NEUTRAL,Belum ada arah BUY/SELL matang.,31.194126415298733
EURNZDm,H4,ZF_DYNAMIC_SL_TP,85.31,1.9946899999999999,1.9946899999999999,1.99491,1.9948,NEUTRAL,NEUTRAL,NEUTRAL,0.003,0.1703,0.001023999999999943,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.99469,46.2,462.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.2000000000010895,1.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.05563162717609897,0.4455114815087311,True,0.5058058316962155,NEUTRAL,0.05375165283650279,0.6592901759108705,1.1,STRESSED,0.001879974339596184,-0.15348434421465496,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8782,87.82,238,,0,LONDON,20.2,NEUTRAL,Belum ada arah BUY/SELL matang.,27.73822915848108
EURAUDm,H4,ZF_DYNAMIC_SL_TP,142.4,1.64384,1.64384,1.64401,1.6439249999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.539,0.4772,0.0007042857142857719,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.64384,33.8,338.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7000000000000348,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000000122,STRESSED,False,0.9950000000000122,0.05131404543451115,-0.7684215014918729,True,0.5106413448411686,NEUTRAL,0.07982364064854004,0.6544772614317612,0.9950000000000122,STRESSED,-0.02850959521402889,-0.14383591659059258,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8395,83.95,162,,0,LONDON,33.31,NEUTRAL,Belum ada arah BUY/SELL matang.,42.92970672420585
CADJPYm,H4,ZF_DYNAMIC_SL_TP,144.14,114.472,114.472,114.489,114.4805,NEUTRAL,NEUTRAL,NEUTRAL,0.359,0.3723,-0.017571428571424706,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,114.472,20.7,207.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7000000000010118,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000003542,STRESSED,False,0.9950000000003542,0.052154210526902826,-0.6303604670332819,True,0.5071300361899467,NEUTRAL,0.07671607833454427,0.6544617157930979,0.9949999999998568,STRESSED,-0.024561867807641448,-0.1473316796031512,4.973799150320701e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8125,81.25,176,,0,LONDON,29.5,NEUTRAL,Belum ada arah BUY/SELL matang.,37.50465018094973
GBPCADm,H4,ZF_DYNAMIC_SL_TP,148.67,1.8778899999999998,1.8778899999999998,1.8780700000000001,1.87798,NEUTRAL,NEUTRAL,NEUTRAL,0.0172,0.1626,-7.999999999998338e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.87789,29.2,292.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.8000000000029104,1.58,0.0,0.0,0.0,0.0,False,,0.0,0.9300000000010187,STRESSED,False,1.0300000000010188,0.05018063863161873,0.30545262990655325,True,0.5060825305061382,NEUTRAL,0.02955747262284384,0.7145406882907276,1.0300000000002416,STRESSED,0.02062316600877489,-0.20845815778458943,7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8053,80.53,190,,0,LONDON,22.35,NEUTRAL,Belum ada arah BUY/SELL matang.,27.982912652530693
GBPNZDm,H4,ZF_DYNAMIC_SL_TP,110.51,2.3052799999999998,2.3052799999999998,2.30552,2.3053999999999997,NEUTRAL,NEUTRAL,NEUTRAL,0.209,0.2955,0.0008597142857142856,TREND,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,2.30528,65.9,659.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.4000000000023998,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.03130529217836227,-0.34866896123818414,True,0.4956291493403006,NEUTRAL,0.027238919267395606,0.6550487330165788,1.1,STRESSED,0.004066372910966662,-0.15941958367627823,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.7921,79.21,202,,0,LONDON,20.48,NEUTRAL,Belum ada arah BUY/SELL matang.,29.759745746701505
GBPCHFm,H4,ZF_DYNAMIC_SL_TP,169.13,1.06145,1.06145,1.0616,1.061525,BUY,BUY,STRICT,1.1025,0.8181,-0.0008577142857143046,RANGE,73,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.66,1.06145,22.8,228.0,1.05917,DATA_DRIVEN,30.1,301.0,1.06446,DATA_DRIVEN,1.32,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.19624395041845716,-1.4908153422635544,False,0.4746342092838325,BUY,0.1597828156063746,0.6096416825612443,0.9249999999995534,STRESSED,0.036461134812082546,-0.1350074732774118,7.771561172376096e-13,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,STRESSED,Setup BUY valid. Entry manual boleh dipertimbangkan dengan SL/TP yang tampil. Akurasi historis resolved sekitar 79.13%.,TRADEABLE,0.7913,79.13,206,,0,LONDON,66.25,PASS,,82.25147104641916
