Symbol,Timeframe,Exit_Mode,Expected_Hold_Hours,Close,Bid,Ask,Mid_Price,Direction,Projected_Direction,Signal_Type,Setup_Maturity,Projection_Score,Projection_Price_Slope,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Optimizer_Projection_Maturity_Floor,Optimizer_Projection_ZF_Floor,Optimizer_Projection_Confidence_Floor,Dynamic_Lot,Entry_Price,SL_Pips,SL_Points,SL_Price,SL_Model,TP_Pips,TP_Points,TP_Price,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,User_Recommendation,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals,Market_Session,Accuracy_Quality_Score,Accuracy_Gate,Accuracy_Gate_Reason,Ranking_Score
UKOILm,H4,ZF_DYNAMIC_SL_TP,39.95,82.103,82.103,82.134,82.1185,NEUTRAL,NEUTRAL,NEUTRAL,0.4883,0.6084,-0.07037142857143007,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,82.103,166.4,1664.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,3.100000000000591,2.71,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.7891238896145996,-15.188151557197042,True,0.7182010954078366,NEUTRAL,0.8691444141894126,0.7100904975279627,1.1,STRESSED,-0.08002052457481301,0.008110597879873893,0.0,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,Jangan entry. Likuiditas/spread sedang tidak sehat.,TRADEABLE,0.9458,94.58,166,,0,LONDON,24.06,NEUTRAL,Belum ada arah BUY/SELL matang.,39.769605477039185
USOILm,H4,ZF_DYNAMIC_SL_TP,52.04,79.16,79.16,79.18,79.17,NEUTRAL,NEUTRAL,NEUTRAL,0.1426,0.4016,0.03631428571428005,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,79.16,171.9,1719.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.000000000001023,1.75,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.9247652152015259,-10.115311251634427,True,0.7199596726589905,NEUTRAL,0.9662187910756974,0.715929410282312,1.0999999999998609,STRESSED,-0.04145357587417153,0.004030262376678473,1.3922196728799463e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9255,92.55,188,,0,LONDON,26.65,NEUTRAL,Belum ada arah BUY/SELL matang.,35.346898363294954
USDJPYm,H4,ZF_DYNAMIC_SL_TP,81.62,160.232,160.232,160.242,160.237,NEUTRAL,NEUTRAL,NEUTRAL,0.04,0.1846,0.003714285714287372,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,160.232,27.1,271.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,0.9999999999990905,0.87,0.0,0.0,0.0,0.0,False,,0.0,0.6499999999996817,LAMINAR,False,0.7499999999996817,0.010361921565471725,0.08008125237201918,False,0.5119299895958745,NEUTRAL,0.032587872050975214,0.6342280270187373,0.7500000000006765,LAMINAR,-0.02222595048550349,-0.12229803742286272,-9.947598300641403e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.9051,90.51,158,,0,LONDON,31.54,NEUTRAL,Belum ada arah BUY/SELL matang.,35.028249947979376
GBPJPYm,H4,ZF_DYNAMIC_SL_TP,97.13,214.609,214.609,214.631,214.62,NEUTRAL,NEUTRAL,NEUTRAL,0.0083,0.2152,-0.0882285714285844,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,214.609,40.4,404.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.199999999999136,1.92,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.1331161780955001,0.04759284629501262,True,0.5817584128669551,NEUTRAL,0.11769452488440428,0.6634416908324221,1.1,STRESSED,0.015421653211095829,-0.08168327796546704,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8932,89.32,206,,0,LONDON,21.1,NEUTRAL,Belum ada arah BUY/SELL matang.,28.93779206433478
EURNZDm,H4,ZF_DYNAMIC_SL_TP,85.31,1.99343,1.99343,1.9936500000000001,1.99354,NEUTRAL,NEUTRAL,NEUTRAL,0.1392,0.2868,0.001318857142857036,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.99343,51.0,510.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.2000000000010895,1.93,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.14245720046391486,1.371696905507369,True,0.5463412112707167,NEUTRAL,0.10983307827095337,0.696267950845483,1.1,STRESSED,0.032624122192961486,-0.14992673957476632,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8782,87.82,238,,0,LONDON,22.9,NEUTRAL,Belum ada arah BUY/SELL matang.,31.605106056353584
EURAUDm,H4,ZF_DYNAMIC_SL_TP,142.4,1.6421700000000001,1.6421700000000001,1.64234,1.642255,NEUTRAL,NEUTRAL,NEUTRAL,0.5598,0.5062,0.0003105714285714371,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.64217,39.3,393.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.6999999999978144,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8949999999992351,STRESSED,False,0.994999999999235,0.14794901701406976,-0.5509673540605897,True,0.5552285485749691,NEUTRAL,0.14794901701406976,0.6788679895009354,0.994999999999235,STRESSED,0.0,-0.12363944092596635,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8395,83.95,162,,0,LONDON,33.95,NEUTRAL,Belum ada arah BUY/SELL matang.,43.83744274287485
CADJPYm,H4,ZF_DYNAMIC_SL_TP,144.14,114.32,114.32,114.337,114.32849999999999,NEUTRAL,NEUTRAL,NEUTRAL,0.0699,0.2036,-0.04642857142857492,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,114.32,22.3,223.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7000000000010118,1.49,0.0,0.0,0.0,0.0,False,,0.0,0.8950000000003542,STRESSED,False,0.9950000000003542,0.10950331798874474,-0.4041456726900329,True,0.5098129613825204,NEUTRAL,0.08492169438532654,0.6476592932001485,0.9950000000003542,STRESSED,0.0245816236034182,-0.13784633181762806,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8125,81.25,176,,0,LONDON,24.32,NEUTRAL,Belum ada arah BUY/SELL matang.,30.043464806912603
GBPCADm,H4,ZF_DYNAMIC_SL_TP,148.67,1.8771,1.8771,1.8772799999999998,1.87719,NEUTRAL,NEUTRAL,NEUTRAL,0.0377,0.2741,-2.0000000000058237e-05,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,1.8771,32.9,329.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,1.7999999999984695,1.57,0.0,0.0,0.0,0.0,False,,0.0,0.9299999999994644,STRESSED,False,1.0299999999994645,0.029252405556651814,0.47670129502652886,True,0.7580715953682038,NEUTRAL,0.03690809508594327,0.7483666134318934,1.0300000000002416,STRESSED,-0.007655689529291455,0.00970498193631042,-7.771561172376096e-13,False,False,LAMINAR,NORMAL,False,STANDBY,,STRESSED,Tidak ada entry. Tunggu sinyal BUY/SELL berikutnya.,TRADEABLE,0.8053,80.53,190,,0,LONDON,24.28,NEUTRAL,Belum ada arah BUY/SELL matang.,30.632357976841018
GBPNZDm,H4,ZF_DYNAMIC_SL_TP,110.51,2.30605,2.30605,2.30629,2.30617,NEUTRAL,NEUTRAL,NEUTRAL,0.0148,0.2323,0.0015682857142855743,RANGE,0,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.0,2.30605,56.8,568.0,,DATA_DRIVEN,0.0,0.0,,NO_SIGNAL,0.0,2.4000000000023998,2.1,0.0,0.0,0.0,0.0,False,,0.0,1.0,STRESSED,False,1.1,0.13759908929769402,0.9202039199805895,True,0.6232469739421822,NEUTRAL,0.11400924614505625,0.6929327038359439,1.1,STRESSED,0.023589843152637763,-0.06968572989376165,0.0,False,False,LAMINAR,SLIPPAGE_LOCK,False,TUNGGU SLIPPAGE,Estimasi slippage melebihi batas.,STRESSED,Jangan entry. Risiko slippage terlalu besar.,TRADEABLE,0.7921,79.21,202,,0,LONDON,17.75,NEUTRAL,Belum ada arah BUY/SELL matang.,25.789134869710914
GBPCHFm,H4,ZF_DYNAMIC_SL_TP,169.13,1.06555,1.06555,1.0657,1.065625,BUY,NEUTRAL,STRICT,1.0309,0.8507,9.542857142854178e-05,RANGE,73,DEFAULT,60,3.0,2.0,0.55,0.45,58,0.81,1.06555,18.5,185.0,1.0637,DATA_DRIVEN,23.3,233.0,1.06788,DATA_DRIVEN,1.26,1.5000000000009448,1.31,0.0,0.0,0.0,0.0,False,,0.0,0.8250000000003306,STRESSED,False,0.9250000000003306,0.012679538803451039,-0.8532800665492967,True,0.7625825956781122,BUY,0.01737091912142995,0.7557726490705022,0.9249999999995534,STRESSED,-0.0046913803179789125,0.006809946607609918,7.771561172376096e-13,False,False,LAMINAR,NORMAL,True,EKSEKUSI,,STRESSED,Setup BUY valid. Entry manual boleh dipertimbangkan dengan SL/TP yang tampil. Akurasi historis resolved sekitar 79.13%.,TRADEABLE,0.7913,79.13,206,,0,LONDON,67.64,PASS,,83.31011297839055
