Symbol,Close,Bid,Ask,Mid_Price,Direction,Regime,Confidence,Optimizer_Mode,Optimizer_Confidence_Floor,Optimizer_Max_Spread_Pips,Optimizer_Max_Slippage_Pips,Dynamic_Lot,SL_Pips,SL_Model,TP_Pips,TP_Model,RR_Ratio,Spread_Pips,Slippage_Est_Pips,Bid_Depth,Ask_Depth,Total_Depth,Depth_Imbalance,Depth_Available,Liquidity_Cluster_Price,Liquidity_Cluster_Volume,Liquidity_Stress,Liquidity_Status,Liquidity_Void,Lambda_Liquidity,Drift,Decay_Integral,Inflection_Detected,ZF_Score,Previous_Direction,Previous_Drift,Previous_ZF_Score,Previous_Lambda_Liquidity,Previous_Liquidity_Status,Delta_Drift,Delta_ZF_Score,Delta_Lambda,Direction_Changed,Liquidity_Status_Changed,Memory_Status,Risk_Mode,Trade_Allowed,Action_Signal,Risk_Note,Session_Phase,Historical_Status,Historical_Expectancy_R,Historical_Win_Rate,Historical_Signals,Live_Expectancy_R,Live_Signals
AUDNZD.m,1.20976,1.20976,1.20985,1.209805,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.9000000000014552,0.79,0.0,0.0,0.0,0.0,False,,0.0,0.6150000000005094,LAMINAR,False,0.7150000000005093,0.00766639568514148,0.2602767989252334,True,0.7025903636515403,NEUTRAL,0.0157864002856081,0.6652914975101722,0.7150000000005093,LAMINAR,-0.008120004600466618,0.037298866141368014,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDUSD.m,0.70761,0.70761,0.70766,0.707635,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,15.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.03202262457907942,0.2829680285934158,True,0.6178642005315165,NEUTRAL,0.0355280123221745,0.6153975864362984,0.5749999999999807,LAMINAR,-0.0035053877430950772,0.0024666140952180893,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
AUDJPY.m,113.317,113.317,113.331,113.324,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,1.4000000000010004,1.23,0.0,0.0,0.0,0.0,False,,0.0,0.7900000000003501,STRESSED,False,0.8900000000003501,0.0231978009320886,0.6599124413466622,True,0.6712246123451739,NEUTRAL,0.0031651778114300732,0.6924509548713629,0.7499999999996817,LAMINAR,0.020032623120658524,-0.021226342526188935,0.14000000000066837,False,True,RESONANCE_MISMATCH,NORMAL,False,WASPADA,,ANOMALOUS,TRADEABLE,0.112,49.49,839,,0
CHFJPY.m,201.631,201.631,201.661,201.64600000000002,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,22.9,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,3.0000000000001137,2.63,0.0,0.0,0.0,0.0,False,,0.0,1.0,VOID,True,1.1,0.02790075550783115,0.7620937510554453,True,0.6808938577587125,NEUTRAL,0.026943834581732058,0.6830418967915977,1.1,STRESSED,0.0009569209260990932,-0.002148039032885185,0.0,False,True,RESONANCE_MISMATCH,LIQUIDITY_LOCK,False,PERTAHANAN LIKUIDITAS,Liquidity void atau spread terlalu lebar.,ANOMALOUS,UNVALIDATED,,,0,,0
EURAUD.m,1.63916,1.63916,1.63923,1.639195,NEUTRAL,RANGE,0,LEARNING,60,3.0,2.0,0.0,20.7,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.7000000000001448,0.61,0.0,0.0,0.0,0.0,False,,0.0,0.5450000000000507,LAMINAR,False,0.6450000000000506,0.01056142682608977,-0.1286644446792405,True,0.6520989568512228,NEUTRAL,0.02646425063410222,0.6174531635670581,0.7150000000005093,LAMINAR,-0.015902823808012452,0.03464579328416462,-0.0700000000004587,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.0365,45.45,818,-1.0,1
EURCAD.m,1.62024,1.62024,1.62032,1.62028,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,12.6,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8000000000008001,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000002801,LAMINAR,False,0.68000000000028,0.02672348315951264,0.04573120485474087,True,0.6262871269958974,NEUTRAL,0.02606962510883855,0.614066864153584,0.6100000000005985,LAMINAR,0.0006538580506740901,0.012220262842313367,0.06999999999968154,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURCHF.m,0.92121,0.92121,0.92126,0.921235,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,6.2,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.004725774384339926,-0.0905205579863649,False,0.659186017266709,NEUTRAL,0.0019526289185159312,0.6883398539860983,0.6099999999998214,LAMINAR,0.0027731454658239943,-0.029153836719389314,-0.0349999999998406,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURGBP.m,0.86309,0.86309,0.86314,0.8631150000000001,NEUTRAL,RANGE,0,LEARNING,60,3.0,2.0,0.0,6.4,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.49999999999994493,0.44,0.0,0.0,0.0,0.0,False,,0.0,0.4749999999999807,LAMINAR,False,0.5749999999999807,0.014234363041814078,-0.006803352726641194,True,0.6187555063614636,NEUTRAL,0.01550400369789469,0.6095268627259987,0.5749999999999807,LAMINAR,-0.0012696406560806124,0.00922864363546494,0.0,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,TRADEABLE,0.046,46.3,813,1.25,1
EURJPY.m,185.756,185.756,185.764,185.76,NEUTRAL,RANGE,0,DEFAULT,60,3.0,2.0,0.0,17.0,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.8000000000009777,0.7,0.0,0.0,0.0,0.0,False,,0.0,0.5800000000003422,LAMINAR,False,0.6800000000003422,0.02572728444871844,0.34267238381782444,False,0.5971378311345031,NEUTRAL,0.01767322772005679,0.6166238850113488,0.645000000000175,LAMINAR,0.008054056728661649,-0.019486053876845655,0.03500000000016723,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
EURUSD.m,1.15995,1.15995,1.1599599999999999,1.159955,NEUTRAL,TREND,0,DEFAULT,60,3.0,2.0,0.0,14.5,DATA_DRIVEN,0.0,NO_SIGNAL,0.0,0.09999999999843466,0.09,0.0,0.0,0.0,0.0,False,,0.0,0.3349999999994521,LAMINAR,False,0.43499999999945216,0.047293507486325846,0.0717074735775434,True,0.43313678017439244,NEUTRAL,0.05388595425943754,0.5365416722675507,0.4700000000004586,LAMINAR,-0.0065924467731116945,-0.10340489209315823,-0.03500000000100645,False,False,LAMINAR,NORMAL,False,STANDBY,,LAMINAR,UNVALIDATED,,,0,,0
