Deal_Ticket,Deal_Time,Symbol,Volume,Price,Profit,Swap,Commission,Net_Profit,Result,Magic,Comment
2994705537,2026-06-17T10:04:35+08:00,GBPCHFm,0.01,1.0639,-2.42,0.0,0.0,-2.42,LOSS,26061620,[sl 1.06390]
3005140317,2026-06-18T16:55:13+08:00,GBPCHFm,0.01,1.06322,0.51,0.0,0.0,0.51,WIN,26061620,[sl 1.06322]
3039362017,2026-06-24T13:25:15+08:00,EURJPYm,0.03,183.696,-2.34,0.0,0.0,-2.34,LOSS,26061620,[sl 183.69600]
3039763953,2026-06-24T14:10:48+08:00,EURJPYm,0.03,183.842,-2.93,0.0,0.0,-2.93,LOSS,26061620,[sl 183.84200]
